Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,1shot_claude_LLM_Clarity_Rating,1shot_claude_LLM_Completeness_Rating,1shot_claude_LLM_Consistency_Rating,1shot_claude_PSNR,1shot_claude_RMSE,1shot_claude_SAM,1shot_claude_SRE,1shot_claude_SSIM,1shot_claude_UIQ,repo_url,summary_token_count,1shot_deepseek_LLM_Clarity_Rating,1shot_deepseek_LLM_Completeness_Rating,1shot_deepseek_LLM_Consistency_Rating,1shot_deepseek_PSNR,1shot_deepseek_RMSE,1shot_deepseek_SAM,1shot_deepseek_SRE,1shot_deepseek_SSIM,1shot_deepseek_UIQ,1shot_gpt_LLM_Clarity_Rating,1shot_gpt_LLM_Completeness_Rating,1shot_gpt_LLM_Consistency_Rating,1shot_gpt_PSNR,1shot_gpt_RMSE,1shot_gpt_SAM,1shot_gpt_SRE,1shot_gpt_SSIM,1shot_gpt_UIQ,agent_claude_LLM_Clarity_Rating,agent_claude_LLM_Completeness_Rating,agent_claude_LLM_Consistency_Rating,agent_claude_PSNR,agent_claude_RMSE,agent_claude_SAM,agent_claude_SRE,agent_claude_SSIM,agent_claude_UIQ,approach_claude_LLM_Clarity_Rating,approach_claude_LLM_Completeness_Rating,approach_claude_LLM_Consistency_Rating,approach_claude_PSNR,approach_claude_RMSE,approach_claude_SAM,approach_claude_SRE,approach_claude_SSIM,approach_claude_UIQ,approach_deepseek_LLM_Clarity_Rating,approach_deepseek_LLM_Completeness_Rating,approach_deepseek_LLM_Consistency_Rating,approach_deepseek_PSNR,approach_deepseek_RMSE,approach_deepseek_SAM,approach_deepseek_SRE,approach_deepseek_SSIM,approach_deepseek_UIQ,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,fewshot_claude_LLM_Clarity_Rating,fewshot_claude_LLM_Completeness_Rating,fewshot_claude_LLM_Consistency_Rating,fewshot_claude_PSNR,fewshot_claude_RMSE,fewshot_claude_SAM,fewshot_claude_SRE,fewshot_claude_SSIM,fewshot_claude_UIQ,fewshot_deepseek_LLM_Clarity_Rating,fewshot_deepseek_LLM_Completeness_Rating,fewshot_deepseek_LLM_Consistency_Rating,fewshot_deepseek_PSNR,fewshot_deepseek_RMSE,fewshot_deepseek_SAM,fewshot_deepseek_SRE,fewshot_deepseek_SSIM,fewshot_deepseek_UIQ,fewshot_gpt_LLM_Clarity_Rating,fewshot_gpt_LLM_Completeness_Rating,fewshot_gpt_LLM_Consistency_Rating,fewshot_gpt_PSNR,fewshot_gpt_RMSE,fewshot_gpt_SAM,fewshot_gpt_SRE,fewshot_gpt_SSIM,fewshot_gpt_UIQ,zeroshot_claude_LLM_Clarity_Rating,zeroshot_claude_LLM_Completeness_Rating,zeroshot_claude_LLM_Consistency_Rating,zeroshot_claude_PSNR,zeroshot_claude_RMSE,zeroshot_claude_SAM,zeroshot_claude_SRE,zeroshot_claude_SSIM,zeroshot_claude_UIQ,zeroshot_deepseek_LLM_Clarity_Rating,zeroshot_deepseek_LLM_Completeness_Rating,zeroshot_deepseek_LLM_Consistency_Rating,zeroshot_deepseek_PSNR,zeroshot_deepseek_RMSE,zeroshot_deepseek_SAM,zeroshot_deepseek_SRE,zeroshot_deepseek_SSIM,zeroshot_deepseek_UIQ,zeroshot_gpt_LLM_Clarity_Rating,zeroshot_gpt_LLM_Completeness_Rating,zeroshot_gpt_LLM_Consistency_Rating,zeroshot_gpt_PSNR,zeroshot_gpt_RMSE,zeroshot_gpt_SAM,zeroshot_gpt_SRE,zeroshot_gpt_SSIM,zeroshot_gpt_UIQ
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3763,0.0214,83.3244,57.8753,0.595,-0.0051,https://github.com/pau-minoves/jseats/,1122,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.414,0.0213,83.2774,57.8942,0.6448,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.5048,0.0211,83.35,57.9396,0.6384,0.0016,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.2988,0.0216,83.3308,57.8369,0.6039,0.0011,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.3026,0.0216,0.0,57.8421,0.6435,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.6188,0.0208,0.0,58.0084,0.6449,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3643,0.0215,83.1878,57.8693,0.673,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2547,0.0217,83.2744,57.8147,0.6134,0.0017,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.3137,0.0216,83.32,57.844,0.6384,-0.0026,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2224,0.0218,83.2572,57.7984,0.6087,-0.0005,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.4739,0.0212,83.2914,57.9242,0.6692,0.0008,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.5021,0.0211,0.0,57.9376,0.6576,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.5264,0.0211,83.3436,57.9505,0.6522,-0.0003
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.8311,0.0114,89.5705,59.1303,0.6342,0.0011,https://github.com/kryptokrauts/ae-prediction-cards/,1070,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.9936,0.0126,89.54,58.7113,0.6198,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.8355,0.0114,89.5621,59.1366,0.6683,0.0056,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.7769,0.0103,89.5054,59.6073,0.6425,0.0064,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.082,0.014,0.0,58.2546,0.5852,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.1882,0.0123,0.0,58.8083,0.7604,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.981,0.0159,89.3963,57.7179,0.636,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3983,0.012,89.5464,58.9139,0.59,0.0052,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.374,0.0107,89.5573,59.4045,0.6874,0.0012,Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.1266,0.0124,89.5446,58.7831,0.6538,0.0021,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0536,0.0112,89.5747,59.2426,0.6338,-0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6611,0.0104,0.0,59.549,0.6746,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0947,0.0111,89.5707,59.2626,0.6572,-0.0043
"icons_and_arrows, boxes",,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6681,0.0117,89.5178,61.2285,0.6998,0.002,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8662,0.0128,89.482,60.8117,0.7325,-0.0002,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2428,0.0137,89.5023,60.482,0.772,-0.0016,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.764,0.0129,89.4898,60.7617,0.5899,0.0045,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.7087,0.0116,0.0,61.2346,0.8178,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2671,0.0122,0.0,61.0256,0.7829,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9332,0.0113,88.9968,61.3457,0.8042,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4183,0.012,89.4271,61.1114,0.6536,-0.0036,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3,0.0108,89.52,61.5561,0.7821,-0.0039,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0882,0.0125,89.5086,60.9272,0.6864,-0.0006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3324,0.0121,89.4641,61.0544,0.6906,-0.0053,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2988,0.0121,0.0,61.0378,0.6821,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8371,0.0114,89.5062,61.3144,0.7326,-0.0013
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.266,0.0217,87.7055,56.9952,0.4734,0.001,https://github.com/lvyahui8/http-proxy/,866,,,,,,,,,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3603,0.0215,87.7145,57.1295,0.4886,0.0019,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3608,0.0215,87.7136,57.141,0.46,0.0015,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4598,0.021,0.0,57.049,0.4744,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,33.4158,0.021,0.0,57.1775,0.5169,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4798,0.0212,87.7119,57.0869,0.5094,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2747,0.0217,87.6904,57.0501,0.44,0.0029,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2889,0.0217,87.7196,57.0911,0.4703,0.0005,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1807,0.0219,87.7015,57.009,0.451,-0.0034,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3672,0.0215,87.6922,57.0891,0.4694,-0.001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3272,0.0212,0.0,57.1217,0.4775,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3148,0.0216,87.7039,57.1046,0.4749,0.0067
"boxes_and_arrows, icons_and_arrows",,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4262,0.0134,88.6569,62.3434,0.7521,0.0002,https://github.com/domingo1021/Bunny-code/,1290,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.4371,0.0134,88.6402,62.3533,0.7774,0.0001,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.1268,0.0139,88.6406,62.1983,0.7588,-0.0003,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6306,0.0131,88.6615,62.446,0.6911,-0.0001,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3539,0.0135,0.0,62.3367,0.7885,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.862,0.0143,0.0,62.1095,0.7907,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4889,0.0119,88.6877,62.8755,0.8311,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7139,0.013,88.6028,62.4876,0.7154,-0.0005,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3517,0.0136,88.6496,62.3329,0.7797,-0.0001,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.2056,0.0138,88.598,62.233,0.7482,0.0014,,,,,,,,,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5298,0.0133,0.0,62.3965,0.7598,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5299,0.0133,88.666,62.3953,0.735,-0.0012
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.1274,0.0392,89.0315,50.0309,0.3716,-0.0003,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.355,0.0382,89.032,50.1451,0.4242,0.0006,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.1302,0.0392,89.005,50.0322,0.383,-0.0006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.0285,0.0397,89.0317,49.9814,0.3716,-0.0004,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.0001,0.0398,0.0,49.9659,0.4278,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.2285,0.0388,0.0,50.0831,0.3953,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1292,0.0392,89.0059,50.0324,0.4079,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.3945,0.038,88.9752,50.1644,0.3842,0.0,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1688,0.039,89.0182,50.0515,0.3898,0.0006,,,,,,,,,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1003,0.0394,88.9589,50.0173,0.3701,0.0004,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1043,0.0393,0.0,50.0221,0.3839,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,28.1149,0.0393,88.9963,50.0246,0.3947,0.0001
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3358,0.0136,89.0194,63.1941,0.7951,-0.0005,https://github.com/gdsc-ys/mlops/,871,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.8756,0.0143,89.0099,62.9649,0.804,0.0013,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7695,0.0145,88.9775,62.9145,0.8137,0.0005,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7951,0.0129,88.958,63.4246,0.7736,0.0006,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1905,0.0138,0.0,63.141,0.8514,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3035,0.0153,0.0,62.7108,0.8561,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9614,0.0142,88.5114,63.0227,0.8528,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.1998,0.0138,88.9741,63.1276,0.8012,0.0005,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5435,0.0133,88.9777,63.2986,0.8205,0.002,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7911,0.0145,88.9657,62.9215,0.7975,0.0001,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4047,0.0135,89.0206,63.2287,0.7909,-0.0008,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4564,0.0134,0.0,63.2561,0.7815,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3591,0.0136,89.0163,63.2057,0.7974,0.0002
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,,,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7614,0.0129,89.8318,56.6167,0.5919,0.0019,https://github.com/krishnaprasadkv/Linux-Commands/,987,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2752,0.0122,89.7158,56.9414,0.6047,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0928,0.0125,89.9033,56.8007,0.5406,0.0013,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8097,0.0115,89.8901,57.244,0.528,0.0001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5827,0.0115,89.9531,57.2559,0.7329,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4676,0.0104,0.0,57.661,0.6685,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.8119,0.0091,89.9199,58.5424,0.6759,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.0181,0.01,89.8885,58.0205,0.6245,-0.0013,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1404,0.011,89.9182,57.5192,0.6186,0.0024,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9209,0.0113,89.9151,57.4022,0.6298,-0.0011,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4779,0.0106,89.9335,57.6192,0.6138,0.0088,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3135,0.0106,0.0,57.6575,0.6287,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2348,0.0123,89.8633,56.889,0.5161,-0.0002
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7321,0.0116,89.083,61.4973,0.7177,-0.0021,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4643,0.0598,17.9861,54.3663,0.0077,-0.0009,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.128,0.0175,89.0405,60.036,0.7413,0.0009,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9299,0.0113,89.0799,61.5958,0.6958,-0.0012,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.2423,0.0097,0.0,62.254,0.7922,,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.9188,0.009,0.0,62.5969,0.8778,,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.5048,0.0106,88.6361,61.9364,0.8429,,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.7364,0.0103,89.0938,62.0,0.7462,0.0034,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.7414,0.0103,89.0931,62.0183,0.7929,0.0067,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.6203,0.0117,89.0657,61.4398,0.7656,-0.0,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3629,0.0121,89.0575,61.3122,0.7105,-0.0026,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0892,0.0111,0.0,61.6758,0.7345,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.327,0.0108,89.0964,61.7956,0.7602,0.0038
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,,,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4441,0.0213,87.285,53.7142,0.4197,-0.0085,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6124,0.0209,87.2385,53.7975,0.4011,-0.0009,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6565,0.0208,87.3002,53.8241,0.436,-0.0001,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6295,0.0208,87.3176,53.8079,0.3603,0.0,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.5608,0.021,0.0,53.7776,0.4989,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7486,0.0205,0.0,53.861,0.4929,,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7551,0.0205,87.3269,53.8682,0.495,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,33.6498,0.0208,87.2997,53.8158,0.4004,0.0017,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6325,0.0208,87.3031,53.8085,0.4272,0.0008,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7766,0.0205,87.3014,53.8784,0.4371,-0.0071,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7349,0.0206,87.3085,53.8615,0.4398,-0.0003,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6217,0.0208,0.0,53.8043,0.4137,,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,33.5064,0.0211,87.3053,53.7476,0.4219,-0.0067
