file,hallucinated_components_count,missing_components_count,correct_components_count,hallucinated_connectors_count,missing_connectors_count,correct_connectors_count,hallucinated_components,missing_components,correct_components,hallucinated_connectors,missing_connectors,correct_connectors
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,3,8,3,7,10,1,WebcamClient; ReceiverClient; TensorFlow Model,"ObservableHQ Webcam 1; ObservableHQ Webcam 2; MoveNet/PoseNet; Skeleton array 1 Client 1; Skeleton array 2 Client 2; ObservableHQ Receiver Notebook; 3D Pose Skeleton x, y, z data; GraphXR data Stretch Goal",Node.js Server; Socket.io; GraphXR,WebcamClient->Socket.IO (Connect via Socket.IO); WebcamClient->Node.js Server (Send 2D Pose Data); Node.js Server->TensorFlow Model (Process 2D Pose Data); TensorFlow Model->Node.js Server (Return Processed 3D Pose); Node.js Server->Socket.IO (Broadcast 3D Pose Data); Socket.IO->ReceiverClient (Send 3D Pose Data); ReceiverClient->GraphXR (Visualize 3D Pose),"ObservableHQ Webcam 1->MoveNet/PoseNet (); ObservableHQ Webcam 2->MoveNet/PoseNet (); MoveNet/PoseNet->Skeleton array 1 Client 1 (); MoveNet/PoseNet->Skeleton array 2 Client 2 (); Skeleton array 1 Client 1->Socket.io (); Skeleton array 2 Client 2->Socket.io (); Socket.io->Node.js Server (); Node.js Server->ObservableHQ Receiver Notebook (); ObservableHQ Receiver Notebook->3D Pose Skeleton x, y, z data (); 3D Pose Skeleton x, y, z data->GraphXR data Stretch Goal ()",Node.js Server->Socket.IO ()
gregoryjohnsonjg6_angular-dotnet-core-docker_comparison.json,2,3,3,7,6,2,User; ASP.NET Core Web API,Browser; dotnet; PG Admin,Angular Frontend; NGINX; PostgreSQL,User->Angular Frontend (Access application); Angular Frontend->NGINX Load Balancer (Send HTTP Request); NGINX Load Balancer->ASP.NET Core Web API (Forward request); ASP.NET Core Web API->PostgreSQL (Execute SQL Command); ASP.NET Core Web API->NGINX Load Balancer (Return HTTP Response); NGINX Load Balancer->Angular Frontend (Forward response); Angular Frontend->User (Display result),Browser->NGINX (1); NGINX->Angular (2); Browser->NGINX (3); NGINX->dotnet (4); dotnet->PostgreSQL (5); PG Admin->PostgreSQL (6),Angular Frontend->NGINX (); NGINX->PostgreSQL ()
jkahn117_aws-news_comparison.json,4,20,8,13,17,2,User; Next.js Frontend; AWS CloudFront; AWS Lambda (Image Processing),Client; Static Site Hosting; Content API; Content Serving; Content Bucket; Blogs Table; Articles Table; ElastiCache Integration; Cache; Event Processor; Web Analytics; Event Stream; Event Bucket; AWS Step Functions workflow; Load Blogs; Process Blog; Process Article Image; Publish to AppSync; Publish to ElastiCache; Events,AWS AppSync; AWS Lambda (Content Serving); Amazon ElastiCache (Redis); Amazon S3; Amazon DynamoDB; Amazon EventBridge; Kinesis Data Firehose; Amazon Pinpoint,User->Next.js Frontend (Access Website); Next.js Frontend->AWS CloudFront (Request Content); AWS CloudFront->AWS AppSync (Query Articles); AWS AppSync->Amazon ElastiCache (Redis) (Check Cache); Amazon ElastiCache (Redis)->AWS AppSync (Return Cached Articles); Amazon DynamoDB->AWS AppSync (Return Articles); AWS AppSync->AWS Lambda (Content Serving) (Deliver Content); AWS Lambda (Content Serving)->Next.js Frontend (Serve Content); Next.js Frontend->Amazon Pinpoint (Send User Interaction Data); Amazon EventBridge->AWS Lambda (Image Processing) (Process Images); AWS Lambda (Image Processing)->Amazon S3 (Store Processed Images); Amazon S3->Amazon DynamoDB (Update Image Metadata); AWS Lambda (Image Processing)->Kinesis Data Firehose (Stream Data),"Client->Content API (); Client->Data API (); Static Site Hosting->Client (); Content API->Content Serving (); Content Serving->Content Bucket (); Content Serving->Blogs Table (); Content Serving->Articles Table (); Data API->ElastiCache Integration (); ElastiCache Integration->Cache (); ElastiCache Integration->Event Processor (); Web Analytics->Event Stream (); Event Stream->Event Bucket (); AWS Step Functions workflow->Load Blogs (); Load Blogs->Process Blog (Nested, invoke per blog); Process Article Image->Events (); Publish to AppSync->Events (); Publish to ElastiCache->Events ()",AWS AppSync->Amazon DynamoDB (Fetch Articles); AWS AppSync->Amazon EventBridge (Trigger `article_created` Event)
SecHack365-Fans_PyJailBreak_comparison.json,21,10,2,13,8,0,Frontend; State Management; UI Components; Static Assets; Deployment; Backend; store.ts; payloadsSlice.ts; dialogSlice.ts; endPointsSlice.ts; emulateSlice.ts; ExecuteAttack.tsx; importFile.tsx; DataGridFooters.tsx; RequestForm.tsx; index.tsx; openapi.tsx; swagger.yaml; GitHub Pages; Docker; API Server,Developers; GitHub Actions; PyJailBreak Website; PyJailBreak Backend; PyJailBreak API; Vulnerable Server Examples; 計算機アプリ1; 計算機アプリ2; printext; hitchhike,Next.js; React,store.ts->payloadsSlice.ts (Manages); store.ts->dialogSlice.ts (Manages); store.ts->endPointsSlice.ts (Manages); endPointsSlice.ts->emulateSlice.ts (Uses); emulateSlice.ts->ExecuteAttack.tsx (Triggers); ExecuteAttack.tsx->importFile.tsx (Imports); importFile.tsx->DataGridFooters.tsx (Displays); Next.js->React (Uses); React->UI Components (Builds); UI Components->Static Assets (Includes); Static Assets->Backend (Documents); Deployment->Frontend (Hosts); Deployment->Backend (Hosts),Developers->GitHub Actions (Code push); GitHub Actions->PyJailBreak Website (Deploy); Users->PyJailBreak Website (Access); PyJailBreak Website->PyJailBreak API (API Calls); PyJailBreak API->計算機アプリ1 (API Request); PyJailBreak API->計算機アプリ2 (API Request); PyJailBreak API->printext (API Request); PyJailBreak API->hitchhike (API Request),
MyEMS_myems_comparison.json,18,42,2,18,0,0,RESTful API; Data Aggregation; User Management; Billing; Data Export and Import; Fault Detection and Diagnostics; Configuration Module; Modbus TCP Service; Normalization Service; Aggregation Service; Cleaning Service; System DB; Energy DB; Billing DB; Historical DB; Carbon DB; Reporting; AngularJS UI,用户权限; HTTPS; API Access; Web UI; 小程序; 手机应用; 大屏; BI; BMS; ERP; AR; API; Excel导出; 高级报表引擎; FDD规则引擎; 邮件/短信/微信; 数据清洗; 数据规范化; 计量表数据; 空间数据; 相户数据; 门店数据; 车辆数据; 设备数据; 组合设备数据; 碳排放数据; 成本数据; OPC UA; BACnet; EtherNet/IP; S7; MQTT; Kafka; Web Server; 数据库集群; MQTT Broker; Kafka Broker; 裸金属服务器; 虚拟机; Docker Engine; 本地Kubernetes集群; 云端Kubernetes集群,Modbus; Data Acquisition,RESTful API->Data Acquisition (); Data Acquisition->Data Aggregation (); Data Aggregation->User Management (); User Management->Billing (); Billing->Data Export and Import (); Data Export and Import->Fault Detection and Diagnostics (); Configuration Module->RESTful API (); Modbus TCP Service->Data Acquisition (); Normalization Service->Data Aggregation (); Aggregation Service->Data Aggregation (); Cleaning Service->Data Aggregation (); System DB->Data Aggregation (); Energy DB->Data Aggregation (); Billing DB->Data Aggregation (); Historical DB->Data Aggregation (); Carbon DB->Data Aggregation (); Reporting->Data Export and Import (); AngularJS UI->User Management (),,
IBM_kubernetes-storage_comparison.json,6,11,1,11,7,0,User; Web Browser; GitHub; IBM Cloud; Guestbook Application; IBM Cloud Storage,Kube API; Secrets; Storage Class; PVC; Object Storage Bucket Provisioner; Kube Scheduler; Kubelet; Kube FlexDriver; S3FS Fuse Module; Container; Cloud Object Storage,Kubernetes Cluster,User->Web Browser (Access GitHub Repository); Web Browser->GitHub (Clone repository); Web Browser->GitHub (Open Documentation); Web Browser->GitHub (Start Lab 5 – Object Storage); GitHub->Kubernetes Cluster (Deploy Guestbook Application); IBM Cloud->Kubernetes Cluster (Authenticate and provision services); IBM Cloud->Kubernetes Cluster (Apply cos-with-s3fs Configuration); IBM Cloud->Kubernetes Cluster (Apply Block Storage Configuration); Kubernetes Cluster->IBM Cloud Storage (Request Object Storage provisioning); Kubernetes Cluster->IBM Cloud Storage (Request Block Storage provisioning); Guestbook Application->IBM Cloud Storage (Store and retrieve data),Kube API->Secrets (Create Secret); Kube API->PVC (Create PVC); Kube API->Kube Scheduler (Create POD With PVC); Object Storage Bucket Provisioner->S3FS Fuse Module (); Kubelet->Kube FlexDriver (); S3FS Fuse Module->Cloud Object Storage (); S3FS Fuse Module->Container (Volume),
marklogic_cloud-enablement-aws_comparison.json,7,9,5,8,3,1,Lambda Functions; utils.py; nodemanager.py; managedeni.py; SNS; EC2 Instances; CloudFormation Templates,AWS; MarkLogic Node A; MarkLogic Node B; MarkLogic Node C; Network Interface; CloudWatch Alarm; Lambda: Managed ENI; Lambda: Node Manager; Simple Notification,Auto Scaling Group; VPC; Application Load Balancer; EBS Volumes; DynamoDB,Lambda Functions->Auto Scaling Group (); Auto Scaling Group->EC2 Instances (); EC2 Instances->EBS Volumes (); EC2 Instances->Application Load Balancer (); SNS->VPC (); CloudFormation Templates->VPC (); CloudFormation Templates->EC2 Instances (); CloudFormation Templates->DynamoDB Table (),Elastic Load Balancer->Auto Scaling Group (Instance Recovery Alarm); Auto Scaling Group->MarkLogic Nodes (Managed Network Interface); Lambda: Managed ENI->Simple Notification (Subscribe),Auto Scaling Group->DynamoDB ()
pau-minoves_jseats_comparison.json,7,10,6,7,5,4,XML Serialization/Deserialization; CLI; JAXB; ProcessorConfig; SeatAllocatorResolver; Logging; Candidate,Candidates and votes; Filter; Process; Decorate; Result; Candidates and seats; Parameters; Seat Allocation Method; TallyFilters; ResultDecorators,SeatAllocatorProcessor; SeatAllocatorMethod; ResultDecorator; TallyFilter; TieBreaker; Tally,XML Serialization/Deserialization->SeatAllocatorProcessor (); CLI->SeatAllocatorProcessor (); JAXB->SeatAllocatorProcessor (); ProcessorConfig->SeatAllocatorProcessor (); SeatAllocatorProcessor->Logging (logs); TallyFilter->Tally (); Tally->Candidate (),Candidates and votes->Tally (); Tally->Seat Allocation Processor (); Seat Allocation Processor->Result (); Result->Candidates and seats (); Seat Allocation Configuration->Seat Allocation Processor (),SeatAllocatorProcessor->SeatAllocatorMethod (); SeatAllocatorProcessor->ResultDecorator (); SeatAllocatorProcessor->TallyFilter (); SeatAllocatorProcessor->TieBreaker ()
gdsc-ys_mlops_comparison.json,4,5,3,16,9,0,Client-Side Tools; Nginx Reverse Proxy; MySQL Database; Docker,Amazon RDS; Amazon ECR; Amazon ECS; GitHub; GitHub Actions,ML Developer; MLflow Tracking Server; AWS S3,ML Developer->Client-Side Tools (Initiate Experiment Tracking); Client-Side Tools->Nginx Reverse Proxy (Log Experiment Details); Nginx Reverse Proxy->MLflow Tracking Server (HTTP Request); MLflow Tracking Server->MySQL Database (Store Metadata); MLflow Tracking Server->AWS S3 (Upload Artifacts); MLflow Tracking Server->Nginx Reverse Proxy (Send Experiment Data); Nginx Reverse Proxy->Client-Side Tools (Forward Response); ML Developer->Client-Side Tools (Request Experiment Data); ML Developer->Client-Side Tools (Deploy Model); Client-Side Tools->Docker (Build Docker Image); ML Developer->Client-Side Tools (Query Model Registry); Client-Side Tools->MLflow Tracking Server (REST API Call); MLflow Tracking Server->AWS S3 (Retrieve Artifacts); MLflow Tracking Server->MySQL Database (Fetch Metadata); Client-Side Tools->Docker (Build Container Image); Client-Side Tools->MLflow Tracking Server (Retrieve Model Information),ML Developer->MLflow (Train model); ML Developer->GitHub (Commit); GitHub->GitHub Actions (Hook); GitHub Actions->Amazon ECR (Build image); Amazon ECR->Amazon ECS (Deploy); Amazon S3->Amazon ECR (Fetch model); MLflow->Amazon RDS (Save log data); MLflow->Amazon S3 (Save artifact); GitHub Actions->MLflow (Track & Tag model),
Spiderpig86_SmoresUnderflow_comparison.json,13,8,2,18,8,0,User; su-frontend; su-users; su-accounts; su-questions; su-answers; su-search; su-media; RabbitMQ; qu-questions; qu-answers; qu-delete-questions; Redis,Client; Main Load Balancer; Search Load Balancer; Microservice Instances + Mongos; Search Instances + Mongos; Kibana; Media Redis Cluster; Main Redis Cluster,MongoDB; ElasticSearch,User->su-frontend (Access Application); su-frontend->su-users (Authenticate User); su-users->su-accounts (Verify Account); su-frontend->su-questions (Submit Question); su-questions->RabbitMQ (Queue Question); RabbitMQ->qu-questions (Process Question); qu-questions->MongoDB (Store Question); qu-questions->ElasticSearch (Index Question); su-frontend->su-answers (Submit Answer); su-answers->RabbitMQ (Queue Answer); RabbitMQ->qu-answers (Process Answer); qu-answers->MongoDB (Store Answer); qu-answers->ElasticSearch (Index Answer); su-frontend->su-search (Request Search); su-search->ElasticSearch (Fetch Results); ElasticSearch->su-frontend (Return Results); su-frontend->su-media (Upload Request); su-media->MongoDB (Store Media Metadata),Client->Main Load Balancer (Traffic); Main Load Balancer->Microservice Instances + Mongos (Route); Search Load Balancer->Search Instances + Mongos (Route); Microservice Instances + Mongos->MongoDB (Database); Search Instances + Mongos->Elastic Search (Search); Elastic Search->Kibana (Visualization); MongoDB->Media Redis Cluster (Cache); MongoDB->Main Redis Cluster (Cache),
