filename,clarity,completeness,consistency
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
gregoryjohnsonjg6_angular-dotnet-core-docker_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
jkahn117_aws-news_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
SecHack365-Fans_PyJailBreak_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
MyEMS_myems_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBM_kubernetes-storage_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
marklogic_cloud-enablement-aws_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
pau-minoves_jseats_comparison.json,Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations
gdsc-ys_mlops_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Spiderpig86_SmoresUnderflow_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
bluekiri_mlab_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
itselavia_edge-computing-platform-for-deep-learning-apps_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
jzyong_GameServer4g_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
LouisvilleMetro_WazeCCPProcessor_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
xinsongyan_talos_pal_locomotion_slmc_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
zalando-incubator_fabric-gateway_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Azure_AzureStack-QuickStart-Templates_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
McOrts_taller-iot-sensor_radiactividad_comparison.json,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations
2WAY_Design_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
brightzheng100_instana-handson-labs_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
serverdevcamp_camp4_quadcore_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
odh-labs_predictive-maint_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
chrispiro_deploy_plotly_app_on_gcp_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
marmarek_qubes-app-u2f_comparison.json,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations
Simon-0711_ta_lyrics_sentiment_classification_comparison.json,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations
