file,hallucinated_components_count,missing_components_count,correct_components_count,hallucinated_connectors_count,missing_connectors_count,correct_connectors_count,hallucinated_components,missing_components,correct_components,hallucinated_connectors,missing_connectors,correct_connectors
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,5,7,3,7,10,1,Kineviz GraphXR; TensorFlow.js Models; ReceiverClient; Express.js; WebcamClient,"ObservableHQ Webcam 1; ObservableHQ Webcam 2; Skeleton array 1 Client 1; Skeleton array 2 Client 2; ObservableHQ Receiver Notebook; 3D Pose Skeleton x, y, z data; GraphXR data Stretch Goal",Node.js Server; Socket.IO; MoveNet/PoseNet,WebcamClient->Node.js Server (send 2D pose data); Node.js Server->ReceiverClient (send 3D pose data); ReceiverClient->TensorFlow.js Models (use models for 2D pose estimation); TensorFlow.js Models->Kineviz GraphXR (send 3D skeleton data for visualization); TensorFlow.js Models->ReceiverClient (return 2D pose estimations); Node.js Server->Socket.IO (handle communication); Socket.IO->Express.js (handle requests),"ObservableHQ Webcam 1->MoveNet/PoseNet (); ObservableHQ Webcam 2->MoveNet/PoseNet (client); MoveNet/PoseNet->Skeleton array 1 Client 1 (); MoveNet/PoseNet->Skeleton array 2 Client 2 (); Skeleton array 1 Client 1->Socket.io (); Skeleton array 2 Client 2->Socket.io (client and server); Socket.io->Node.js Server (server); Node.js Server->ObservableHQ Receiver Notebook (receiver); ObservableHQ Receiver Notebook->3D Pose Skeleton x, y, z data (); 3D Pose Skeleton x, y, z data->GraphXR data Stretch Goal (3D Visualization)",Node.js Server->Socket.IO ()
gregoryjohnsonjg6_angular-dotnet-core-docker_comparison.json,6,3,3,8,6,0,User; WebApi; Application; Infrastructure.Identity; Infrastructure.Persistence; Domain,Browser; dotnet; PG Admin,Angular; NGINX; PostgreSQL,User->Frontend (Angular) (Access UI); Frontend (Angular)->Load Balancer (NGINX) (HTTP Requests); Load Balancer (NGINX)->WebApi (Route Requests); WebApi->Application (Process Request); Application->Infrastructure.Identity (Authenticate User); Application->Infrastructure.Persistence (Data Access); Application->Domain (Validate and Execute); Infrastructure.Persistence->Database (PostgreSQL) (Query/Insert/Update/Delete),Browser->NGINX (1); NGINX->Angular (2); Browser->NGINX (3); NGINX->dotnet (4); dotnet->PostgreSQL (5); PG Admin->PostgreSQL (6),
jkahn117_aws-news_comparison.json,4,20,6,8,14,1,User; Next.js Frontend; CloudFront CDN; Lambda Functions,Client; Static Site Hosting; Content API; Data API; Content Serving; Content Bucket; Blogs Table; Articles Table; ElastiCache Integration; Cache; Event Processor; Web Analytics; Event Stream; Event Bucket; Load Blogs; Process Blog; Process Article Image; Publish to AppSync; Publish to ElastiCache; Events,AppSync API; EventBridge; Kinesis Data Firehose; S3; DynamoDB; ElastiCache,User->Next.js Frontend (Interact); Next.js Frontend->CloudFront CDN (Load static assets); Next.js Frontend->Kinesis Data Firehose (Stream user interaction data); Next.js Frontend->AppSync API (Request articles); AppSync API->Next.js Frontend (Return articles); EventBridge->Lambda Functions (Emit 'article_created' event); Lambda Functions->S3 (Store article content); Lambda Functions->DynamoDB (Update image metadata),Client->Content API (Request); Client->Data API (Request); Static Site Hosting->Client (Serve); Content API->Content Serving (Invoke); Content Serving->Content Bucket (Fetch); Data API->Blogs Table (Query); Data API->Articles Table (Query); ElastiCache Integration->Cache (Access); Event Processor->Event Bucket (Store); Web Analytics->Event Stream (Stream); Load Blogs->Process Blog (Invoke); Process Article Image->Events (Trigger); Publish to AppSync->Events (Trigger); Publish to ElastiCache->Events (Trigger),AppSync API->ElastiCache for Redis (Check cache for articles)
SecHack365-Fans_PyJailBreak_comparison.json,3,6,0,3,5,0,Next.js Pages; React Components; State Management (Redux Toolkit),Developers; GitHub Actions; PyJailBreak Website; PyJailBreak Backend; PyJailBreak API; Vulnerable Server Examples,,API Documentation; Render; State Updates,Code Deployment; Deploy; Access; API Request; API Call,
MyEMS_myems_comparison.json,4,8,0,3,0,0,Backend (Falcon API); MySQL Databases; Services; Frontend (AngularJS 1.x),安全; 数据可视化; 数据分析服务; 数据计算服务; 数据采集服务; 硬件网关; 其他数据源; 容器化服务器集群,,Backend (Falcon API)->MySQL Databases (); Services->MySQL Databases (); Frontend (AngularJS 1.x)->Services (),,
IBM_kubernetes-storage_comparison.json,16,11,1,12,8,0,CI/CD Pipeline; GitHub Actions; Travis CI; MKDocs Documentation; Admin Guide; MkDocs; Labs; User; Guestbook Application; Node.js; MongoDB; Storage Solutions; IBM Cloud Operator; Persistent Volumes & Claims; IBM Cloud Block Storage; IBM Cloud Object Storage,Kube API; Secrets; Storage Class; PVC; Object Storage Bucket Provisioner; Kube Scheduler; Kubelet; Kube FlexDriver; S3FS Fuse Module; Container; Cloud Object Storage,Kubernetes Cluster,GitHub Actions->MkDocs (builds and deploys); Travis CI->MkDocs (performs markdown linting); User->Admin Guide (reads); User->Guestbook Application (interacts with applications); MkDocs->Labs (includes lab instructions); Kubernetes Cluster->Guestbook Application (deploys application); Kubernetes Cluster->Storage Solutions (provisions storage); Node.js->MongoDB (interacts with); Storage Solutions->IBM Cloud Operator (manages cloud services); Storage Solutions->Persistent Volumes & Claims (manages PVs and PVCs); Storage Solutions->IBM Cloud Block Storage (configures block storage); Storage Solutions->IBM Cloud Object Storage (configures object storage),Kube API->Secrets (Create Secret); Kube API->PVC (Create PVC); Kube API->Kube Scheduler (Create POD With PVC); Object Storage Bucket Provisioner->Kube FlexDriver (); Kubelet->Kube FlexDriver (); Kube FlexDriver->S3FS Fuse Module (); S3FS Fuse Module->Cloud Object Storage (); S3FS Fuse Module->Container (Volume),
marklogic_cloud-enablement-aws_comparison.json,6,9,2,5,5,0,CloudFormation; Lambda Functions; AWS Resources; Infrastructure Management; EC2 Instances; EBS Volumes,AWS VPC; Elastic Load Balancer; MarkLogic Node A; MarkLogic Node B; MarkLogic Node C; CloudWatch Alarm; Lambda: Managed ENI; Lambda: Node Manager; Simple Notification,DynamoDB; Auto Scaling Groups,CloudFormation->AWS Resources (nested stacks); Lambda Functions->Infrastructure Management (); AWS Resources->EC2 Instances (); EC2 Instances->EBS Volumes (); Infrastructure Management->AWS Resources (),Elastic Load Balancer->Auto Scaling Group (Instance Recovery Alarm); Auto Scaling Group->DynamoDB (Sync up node information); Lambda: Managed ENI->Auto Scaling Group (Manage Network Interface); Lambda: Node Manager->Auto Scaling Group (ASG Life Cycle Event); Simple Notification->Lambda: Node Manager (Subscribe),
pau-minoves_jseats_comparison.json,10,6,2,9,4,0,User; SeatAllocatorLauncher; SeatAllocatorResolver; ProcessorConfig; XML File; Candidate; SeatAllocationMethod; TallyFilter; ResultDecorator; TieBreaker,Candidates and votes; Filter; Process; Decorate; Result; Candidates and seats,Tally; Seat Allocation Processor,User->SeatAllocatorLauncher (); SeatAllocatorLauncher->SeatAllocatorProcessor (); SeatAllocatorProcessor->SeatAllocatorResolver (); SeatAllocatorResolver->ProcessorConfig (); ProcessorConfig->XML File (); XML File->Tally (); Tally->Candidate (); Candidate->SeatAllocatorProcessor (); SeatAllocatorProcessor->User (),Candidates and votes->Tally (); Tally->Seat Allocation Processor (); Seat Allocation Processor->Result (); Result->Candidates and seats (),
gdsc-ys_mlops_comparison.json,6,5,2,9,5,0,Amazon RDS; Amazon S3; Amazon ECR; Amazon ECS; GitHub; GitHub Actions,Client-Side Tools; Nginx Reverse Proxy; REST API Endpoints; MySQL Database; AWS S3 Artifact Store,ML Developer; mlflow,ML Developer->mlflow (); mlflow->Amazon RDS (); mlflow->Amazon S3 (); ML Developer->GitHub (); GitHub->GitHub Actions (); GitHub Actions->Amazon ECR (); Amazon ECR->Amazon ECS (); GitHub Actions->Amazon ECS (); GitHub Actions->mlflow (),ML Developer->Client-Side Tools (); Client-Side Tools->Nginx Reverse Proxy (); Nginx Reverse Proxy->MLflow Tracking Server (); MLflow Tracking Server->MySQL Database (); MLflow Tracking Server->AWS S3 Artifact Store (),
Spiderpig86_SmoresUnderflow_comparison.json,13,8,3,14,8,1,User; React App; su-media Service; su-users Service; su-accounts Service; su-questions Service; su-answers Service; su-search Service; RabbitMQ; Nginx; qu-questions Queue; qu-answers Queue; qu-delete-questions Queue,Client; Main Load Balancer; Search Load Balancer; Microservice Instances + Mongos; Search Instances + Mongos; Kibana; Media Redis Cluster; Main Redis Cluster,MongoDB; ElasticSearch; Redis,User->React App (); React App->su-media Service (); React App->su-users Service (); React App->su-accounts Service (); React App->su-questions Service (); React App->su-answers Service (); React App->su-search Service (); su-search Service->ElasticSearch (); su-questions Service->qu-delete-questions Queue (); su-questions Service->qu-questions Queue (); su-answers Service->qu-answers Queue (); su-questions Service->Redis (); su-users Service->Redis (); Nginx->MongoDB (),Client->Main Load Balancer (); Main Load Balancer->Microservice Instances + Mongos (); Search Load Balancer->Search Instances + Mongos (); Microservice Instances + Mongos->MongoDB (); Search Instances + Mongos->Elastic Search (); Elastic Search->Kibana (); MongoDB->Media Redis Cluster (); MongoDB->Main Redis Cluster (),ElasticSearch->MongoDB ()
