sample_id,setting_id,author1_rating,author2_rating,metric
1,1,True,False,clarityAgree
1,2,True,False,clarityAgree
1,3,True,False,clarityAgree
2,1,True,False,clarityAgree
2,5,True,False,clarityAgree
4,2,True,False,clarityAgree
5,1,True,False,clarityAgree
7,2,True,False,clarityAgree
7,3,True,False,clarityAgree
8,2,False,True,clarityAgree
8,4,True,False,clarityAgree
8,5,True,False,clarityAgree
11,1,False,True,clarityAgree
11,3,True,False,clarityAgree
13,1,False,True,clarityAgree
13,2,True,False,clarityAgree
13,3,True,False,clarityAgree
13,4,True,False,clarityAgree
14,3,True,False,clarityAgree
14,4,True,False,clarityAgree
14,5,True,False,clarityAgree
15,2,False,True,clarityAgree
16,3,True,False,clarityAgree
16,4,True,False,clarityAgree
16,5,True,False,clarityAgree
17,1,True,False,clarityAgree
17,3,True,False,clarityAgree
19,2,True,False,clarityAgree
19,3,True,False,clarityAgree
21,1,True,False,clarityAgree
2,3,False,True,completenessAgree
2,4,True,False,completenessAgree
2,5,True,False,completenessAgree
3,5,True,False,completenessAgree
5,2,True,False,completenessAgree
5,5,True,False,completenessAgree
8,2,False,True,completenessAgree
8,4,True,False,completenessAgree
8,5,True,False,completenessAgree
11,4,True,False,completenessAgree
13,2,True,False,completenessAgree
13,3,True,False,completenessAgree
13,4,True,False,completenessAgree
14,1,True,False,completenessAgree
14,4,True,False,completenessAgree
14,5,True,False,completenessAgree
15,2,False,True,completenessAgree
16,3,True,False,completenessAgree
16,4,True,False,completenessAgree
16,5,True,False,completenessAgree
17,1,True,False,completenessAgree
17,3,True,False,completenessAgree
2,5,True,False,consistencyAgree
3,5,True,False,consistencyAgree
4,4,True,False,consistencyAgree
6,2,True,False,consistencyAgree
8,2,False,True,consistencyAgree
8,4,True,False,consistencyAgree
10,3,True,False,consistencyAgree
13,1,False,True,consistencyAgree
13,3,True,False,consistencyAgree
13,4,True,False,consistencyAgree
14,3,True,False,consistencyAgree
14,5,True,False,consistencyAgree
16,4,True,False,consistencyAgree
17,2,True,False,consistencyAgree
17,3,True,False,consistencyAgree
17,4,True,False,consistencyAgree
17,5,True,False,consistencyAgree
19,5,True,False,consistencyAgree
21,5,True,False,consistencyAgree
2,3,Meets Expectations,Partially Meets Expectations,accuracyRating
2,4,Does Not Meet Expectations,Partially Meets Expectations,accuracyRating
2,5,Partially Meets Expectations,Meets Expectations,accuracyRating
3,5,Does Not Meet Expectations,Partially Meets Expectations,accuracyRating
4,4,Does Not Meet Expectations,Partially Meets Expectations,accuracyRating
4,5,Does Not Meet Expectations,Partially Meets Expectations,accuracyRating
6,1,Does Not Meet Expectations,Partially Meets Expectations,accuracyRating
7,1,Meets Expectations,Partially Meets Expectations,accuracyRating
7,3,Meets Expectations,Partially Meets Expectations,accuracyRating
8,5,Meets Expectations,Partially Meets Expectations,accuracyRating
9,3,Meets Expectations,Partially Meets Expectations,accuracyRating
