file,hallucinated_components_count,missing_components_count,correct_components_count,hallucinated_connectors_count,missing_connectors_count,correct_connectors_count,hallucinated_components,missing_components,correct_components,hallucinated_connectors,missing_connectors,correct_connectors
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,3,9,1,2,10,1,Webcam Client 1; Webcam Client 2; Receiver Client,"ObservableHQ Webcam 1; MoveNet/PoseNet; Skeleton array 1 Client 1; Socket.io; ObservableHQ Webcam 2; Skeleton array 2 Client 2; ObservableHQ Receiver Notebook; 3D Pose Skeleton x, y, z data; GraphXR data Stretch Goal",Node.js Server,Webcam Client 1->Node.js Server (Connect (Socket.IO)); Webcam Client 2->Node.js Server (Connect (Socket.IO)),"ObservableHQ Webcam 1->MoveNet/PoseNet (); MoveNet/PoseNet->Skeleton array 1 Client 1 (); Skeleton array 1 Client 1->Socket.io (); ObservableHQ Webcam 2->MoveNet/PoseNet (client); MoveNet/PoseNet->Skeleton array 2 Client 2 (); Skeleton array 2 Client 2->Socket.io (client and server); Socket.io->Node.js Server (server); Node.js Server->ObservableHQ Receiver Notebook (receiver); ObservableHQ Receiver Notebook->3D Pose Skeleton x, y, z data (3D Visualization); 3D Pose Skeleton x, y, z data->GraphXR data Stretch Goal ()",Node.js Server->Receiver Client (Broadcast 3D skeleton data)
gregoryjohnsonjg6_angular-dotnet-core-docker_comparison.json,2,3,3,5,4,2,User; ASP.NET Core Web API,Browser; dotnet; PG Admin,Angular Frontend; NGINX; PostgreSQL,User->Angular Frontend (); NGINX Load Balancer->ASP.NET Core Web API (); ASP.NET Core Web API->Angular Frontend (); Angular Frontend->ASP.NET Core Web API (); ASP.NET Core Web API->Angular Frontend (),Browser->NGINX (); NGINX->Angular (); dotnet->PostgreSQL (); PG Admin->PostgreSQL (),Angular Frontend->NGINX (); NGINX->PostgreSQL ()
jkahn117_aws-news_comparison.json,5,15,8,15,16,1,RSS Feed; Ingestion Lambda; Image Processing Lambda; CloudFront; Next.js Frontend,Client; Static Site Hosting; Content API; Data API; Content Serving; Blogs Table; Articles Table; Event Processor; Load Blogs; Process Blog; Process Article Image; Publish to AppSync; Publish to ElastiCache; Events; Event Bucket,EventBridge; S3; DynamoDB; ElastiCache; Lambda; AppSync API; Kinesis Firehose; Pinpoint,RSS Feed->Ingestion Lambda (Fetch RSS feed); Ingestion Lambda->S3 (Store article content); Ingestion Lambda->S3 (Store article metadata); Ingestion Lambda->EventBridge (Publish article_created event); Image Processing Lambda->S3 (Process and store images); Image Processing Lambda->DynamoDB (Update article metadata); AppSync API->ElastiCache (Check cache); ElastiCache->AppSync API (Return cached data (if available)); AppSync API->DynamoDB (Query data (if not in cache)); DynamoDB->AppSync API (Return data); AppSync API->ElastiCache (Update cache); AppSync API->CloudFront (Return data); CloudFront->Next.js Frontend (Serve content); Next.js Frontend->Pinpoint (Send user interaction data); Pinpoint->Kinesis Firehose (Stream analytics data),"Client->Content API (); Client->Data API (); Static Site Hosting->Client (); Content API->Content Serving (); Content Serving->Content Bucket (); Data API->Blogs Table (); Data API->Articles Table (); Web Analytics->Event Stream (); Event Stream->Event Bucket (); ElastiCache Integration->Cache (); Event Processor->Event Bucket (); Load Blogs->Process Blog (Nested, invoke per blog); Process Blog->Events (); Process Article Image->Events (); Publish to AppSync->Events (); Publish to ElastiCache->Events ()",EventBridge->Image Processing Lambda (Trigger image processing)
SecHack365-Fans_PyJailBreak_comparison.json,5,5,1,6,5,0,Next.js Pages; React Components; Redux Store; API Server; GitHub Pages,Developers; GitHub Actions; PyJailBreak Website; PyJailBreak Backend; PyJail Break API,Vulnerable Server,Next.js Pages->React Components (renders); React Components->Redux Store (uses); Next.js Pages->Redux Store (accesses state); API Server->Vulnerable Server (scans); API Server->GitHub Pages (sends requests); GitHub Pages->API Server (deploys to),Developers->GitHub Actions (); GitHub Actions->PyJailBreak Website (); Users->PyJailBreak Website (); PyJailBreak Website->PyJail Break API (); PyJail Break API->Vulnerable Server Examples (),
MyEMS_myems_comparison.json,15,50,1,16,0,0,Admin UI; User UI; MyEMS API; User Management Service; Data Cleaning Service; Data Normalization Service; Data Aggregation Service; Fault Detection Service; Reporting Service; Billing Service; System Database; Energy Database; Historical Database; Carbon Database; Billing Database,用户权限; HTTPS; API Access; Web UI; 小程序; 手机应用; 大屏; BI; BMS; ERP; AR; API; Excel导出; 高级报表引擎; FDD规则引擎; 邮件/短信/微信; 数据采集; 设备控制; 数据清洗; 数据规范化; 计量表数据; 空间数据; 租户数据; 门店数据; 车辆数据; 设备数据; 组合设备数据; 碳排放数据; 成本数据; BMS; MES; ERP; 天气; 手工录入; Modbus; OPC UA; BACnet; EtherNet/IP; S7; MQTT; Kafka; 裸金属服务器; 虚拟机; Docker Engine; 本地Kubernetes集群; 云端Kubernetes集群; 数据库集群; Web Server; MQTT Broker; Kafka Broker,Data Acquisition Service,Admin UI->MyEMS API (connects to); User UI->MyEMS API (connects to); MyEMS API->Data Acquisition Service (calls); MyEMS API->User Management Service (calls); MyEMS API->Data Cleaning Service (calls); MyEMS API->Data Normalization Service (calls); MyEMS API->Data Aggregation Service (calls); MyEMS API->Fault Detection Service (calls); MyEMS API->Reporting Service (calls); MyEMS API->Billing Service (calls); Data Acquisition Service->System Database (stores data in); User Management Service->System Database (stores data in); Data Aggregation Service->Energy Database (stores data in); Fault Detection Service->Historical Database (stores data in); Reporting Service->Carbon Database (stores data in); Billing Service->Billing Database (stores data in),,
IBM_kubernetes-storage_comparison.json,5,10,1,6,4,0,Kubernetes API Server; Scheduler; Container Runtime; IBM Cloud Block Storage; IBM Cloud Object Storage,Kube API; Secrets; Storage Class; PVC; Object Storage Bucket Provisioner; Kube Scheduler; Kube FlexDriver; S3FS Fuse Module; Container; Cloud Object Storage,Kubelet,Apply YAML manifest; Schedule pod; Assign node; Create container; Mount volume; Connect via S3FS,Create Secret; Create PVC; Create POD With PVC; Volume,
pau-minoves_jseats_comparison.json,11,9,4,8,4,0,SeatAllocatorLauncher; SeatAllocatorProcessor; ProcessorConfig; SeatAllocatorResolver; Candidate; TieBreakers; MajorityMethods; LargestRemainderMethods; HighestAveragesMethods; EqualProportionsMethods; RankedByVotesMethods,Candidates and votes; Seat Allocation Processor; Filter; Process; Decorate; Candidates and seats; Parameters; Seat Allocation Method; TieBreaker,Tally; Result; TallyFilters; ResultDecorators,SeatAllocatorLauncher->SeatAllocatorProcessor (executes); SeatAllocatorProcessor->ProcessorConfig (uses); SeatAllocatorProcessor->SeatAllocatorResolver (uses); ProcessorConfig->SeatAllocatorResolver (configures); SeatAllocatorResolver->ProcessorConfig (resolves); SeatAllocatorProcessor->Tally (processes); SeatAllocatorProcessor->Candidate (manipulates); SeatAllocatorProcessor->Result (manipulates),Candidates and votes->Tally (Input); Tally->Seat Allocation Processor (Process); Seat Allocation Processor->Result (Output); Result->Candidates and seats (Output),
gdsc-ys_mlops_comparison.json,4,6,2,5,8,0,MLflow Client; Nginx Reverse Proxy; MySQL Database; AWS S3,Amazon RDS; Amazon S3; Amazon ECR; Amazon ECS; GitHub; GitHub Actions,ML Developer; MLflow,ML Developer->MLflow Client (Run ML experiment); MLflow Client->Nginx Reverse Proxy (Send experiment data); Nginx Reverse Proxy->MLflow Tracking Server (Forward request); MLflow Tracking Server->MySQL Database (Store metadata); MLflow Tracking Server->AWS S3 (Store artifacts),ML Developer->MLflow (Train model); ML Developer->GitHub (Commit); GitHub->GitHub Actions (Hook); GitHub Actions->Amazon ECR (Build image); Amazon ECR->Amazon ECS (Deploy); MLflow->Amazon RDS (Save log data); MLflow->Amazon S3 (Save artifact); MLflow->GitHub Actions (Track & Tag model),
Spiderpig86_SmoresUnderflow_comparison.json,9,8,4,19,9,0,User; su-frontend; su-users; su-accounts; su-questions; su-answers; su-search; su-media; RabbitMQ,Client; Main Load Balancer; Search Load Balancer; Microservice Instances + Mongos; Search Instances + Mongos; Kibana; Media Redis Cluster; Main Redis Cluster,Nginx Load Balancer; MongoDB; ElasticSearch; Redis Cache,User->Nginx Load Balancer (Request); Nginx Load Balancer->su-frontend (Route request); su-frontend->su-users (Authenticate); su-users->Redis Cache (Check cached token); su-users->MongoDB (Verify user if not in cache); su-frontend->su-questions (Fetch questions); su-questions->Redis Cache (Check cache); su-questions->MongoDB (Fetch from DB if not cached); su-frontend->su-answers (Fetch answers); su-answers->Redis Cache (Check cache); su-answers->MongoDB (Fetch from DB if not cached); su-frontend->su-search (Search request); su-search->ElasticSearch (Query); su-frontend->su-media (Upload media); su-media->MongoDB (Store media metadata); su-frontend->su-questions (Post new question); su-questions->RabbitMQ (Enqueue question); RabbitMQ->MongoDB (Persist question); RabbitMQ->ElasticSearch (Index question),Client->Main Load Balancer (OpenStack VPC); Main Load Balancer->Microservice Instances + Mongos (); Search Load Balancer->Search Instances + Mongos (); Search Instances + Mongos->Elastic Search (); Elastic Search->Kibana (); Microservice Instances + Mongos->MongoDB (Database); Search Instances + Mongos->MongoDB (Database); MongoDB->Media Redis Cluster (); MongoDB->Main Redis Cluster (),
bluekiri_mlab_comparison.json,12,4,3,14,4,0,Dashboard; Flask Core; Data Access Layer; Interactors; API Endpoints; Frontend; Model Publisher; Worker Service; HTTP API; Error Handler; ZK Integration; Docker,Model trainer component; Application Consumer; Orchestrator; Worker,Zookeeper; MongoDB; Model Loader,Dashboard->Flask Core (); Dashboard->Data Access Layer (); Dashboard->Interactors (); Dashboard->API Endpoints (); Dashboard->Frontend (); Dashboard->Model Publisher (); Docker->Dashboard (); Docker->Worker Service (); Worker Service->Model Loader (); Worker Service->HTTP API (); Worker Service->Error Handler (); Worker Service->ZK Integration (); ZK Integration->ZooKeeper (); MongoDB->ZooKeeper (),Model trainer component->Orchestrator (); Application Consumer->Worker (); Orchestrator->Zookeeper (); Orchestrator->MongoDB (),
