file,hallucinated_components_count,missing_components_count,correct_components_count,hallucinated_connectors_count,missing_connectors_count,correct_connectors_count,hallucinated_components,missing_components,correct_components,hallucinated_connectors,missing_connectors,correct_connectors
gregoryjohnsonjg6_angular-dotnet-core-docker_comparison.json,7,3,3,2,4,2,User; ASP.NET Core Web API; Docker & Docker Compose; CQRS & MediatR; Infrastructure.Identity; Infrastructure.Persistence; Domain Entities,Browser; dotnet; PG Admin,Angular; NGINX; PostgreSQL,User->Angular Frontend (); API Gateway (NGINX)->ASP.NET Core Web API (),Browser->NGINX (); NGINX->dotnet (); dotnet->PostgreSQL (); PG Admin->PostgreSQL (),Angular->NGINX (); NGINX->PostgreSQL ()
jkahn117_aws-news_comparison.json,6,19,6,6,17,2,User; CloudFront CDN; S3 Processed Images; Lambda Image Processor; Lambda RSS Feed Parser; S3 Article Storage,Client; Content API; Content Serving; Content Bucket; Blogs Table; Articles Table; ElasticCache Integration; Cache; Event Processor; Web Analytics; Event Stream; Event Bucket; AWS Step Functions workflow; Load Blogs; Process Blog; Process Article Image; Publish to AppSync; Publish to ElastiCache; Events,Static Site Hosting; AWS AppSync GraphQL API; ElastiCache; DynamoDB; Amazon Pinpoint; Kinesis Data Firehose,User->Static Site (); AWS AppSync GraphQL API->CloudFront CDN (); AWS AppSync GraphQL API->ElastiCache Redis (); AWS AppSync GraphQL API->S3 Processed Images (); Lambda Image Processor->DynamoDB (); Lambda RSS Feed Parser->S3 Article Storage (),"Client->Content API (); Client->Data API (); Static Site Hosting->Client (); Content API->Content Serving (); Content Serving->Content Bucket (); Content Serving->Blogs Table (); Content Serving->Articles Table (); Data API->ElasticCache Integration (); ElasticCache Integration->Cache (); ElasticCache Integration->Event Processor (); Web Analytics->Event Stream (); Event Stream->Event Bucket (); AWS Step Functions workflow->Load Blogs (); Load Blogs->Process Blog (Nested, invoke per blog); Process Blog->Events (); Process Article Image->Publish to AppSync (); Process Article Image->Publish to ElastiCache ()",Static Site->AWS AppSync GraphQL API (); Amazon Pinpoint->Kinesis Data Firehose ()
SecHack365-Fans_PyJailBreak_comparison.json,15,6,0,12,5,0,User; UI for Scan Configuration; API Documentation (Swagger UI); Execute Scan; Payload Management; Configuration; Emulation Mode; Backend API; Scan Execution API; State Management (Redux Toolkit); Dialog Slice; Payloads Slice; Endpoints Slice; Emulation Slice; Store Configuration,Developers; GitHub Actions; PyJailBreak Website; PyJailBreak Backend; PyJail Break API; Vulnerable Server Examples,,User->UI for Scan Configuration (); UI for Scan Configuration->API Documentation (Swagger UI) (); UI for Scan Configuration->Execute Scan (); UI for Scan Configuration->Payload Management (); UI for Scan Configuration->Configuration (); UI for Scan Configuration->Emulation Mode (); Backend API->Scan Execution API (); State Management (Redux Toolkit)->Dialog Slice (); State Management (Redux Toolkit)->Payloads Slice (); State Management (Redux Toolkit)->Endpoints Slice (); State Management (Redux Toolkit)->Emulation Slice (); State Management (Redux Toolkit)->Store Configuration (),Developers->GitHub Actions (); GitHub Actions->PyJailBreak Website (); Users->PyJailBreak Website (); PyJailBreak Website->PyJail Break API (); PyJail Break API->Vulnerable Server Examples (),
MyEMS_myems_comparison.json,26,25,7,11,0,0,User Roles; API Keys; Dashboard / BI Tools; Web Admin UI (AngularJS); Mini Programs / Mobile Apps; Modbus / OPC UA / MQTT / Kafka; Weather / ERP / BMS / MES; Manual Entry; Gateway Services; Device Data Collector; Data Cleaning; Normalization; Hourly Aggregation; Falcon REST API; Tariff & Lease Logic; Billing Module; Notification Engine; Core Business Logic; Billing DB; Historical DB; Carbon DB; System DB; Energy DB; MQTT/Kafka Broker; Kubernetes Cluster; Systemd Services,用户权限; API Access; Web UI; 小程序; 手机应用; 大屏; BI; BMS; ERP; AR; API; Excel导出; 高级报表引擎; 邮件/短信/微信; 数据清洗; 数据规范化; 计量表数据; Modbus; OPC UA; BACnet; 数据库集群; MQTT Broker; Kafka Broker; 本地Kubernetes集群; 云端Kubernetes集群,HTTPS; Web Server; Docker Engine; MQTT; Kafka; FDD Engine; Excel Report Generator,Gateway Services->Device Data Collector (); Device Data Collector->Data Cleaning (); Data Cleaning->Normalization (); Normalization->Hourly Aggregation (); FDD Engine->Notification Engine (); Falcon REST API->Core Business Logic (); Core Business Logic->Carbon DB (); Core Business Logic->System DB (); Core Business Logic->Energy DB (); Core Business Logic->Historical DB (); Core Business Logic->Billing DB (),,
IBM_kubernetes-storage_comparison.json,10,10,1,9,8,0,Workshop Participant; CI/CD Travis CI GitHub Actions; Documentation; Kubernetes Environment; Kubernetes Cluster; Services & Deployments; Guestbook Application; IBM Cloud Object Storage; IBM Cloud Block Storage; IBM Cloud Operator,Kube API; Secrets; Storage Class; Object Storage Bucket Provisioner; Kube Scheduler; Kubelet; Kube FlexDriver; S3FS Fuse Module; Container; Cloud Object Storage,PVC,Workshop Participant->Documentation (Access); CI/CD Travis CI GitHub Actions->Documentation (Build & Deploy); Documentation->Kubernetes Environment (Guide Deployment); Kubernetes Cluster->Services & Deployments (Manage); Kubernetes Cluster->Guestbook Application (Uses); Kubernetes Cluster->Persistent Volume Claims (Manage Resources); IBM Cloud Services->IBM Cloud Object Storage (Connects); IBM Cloud Services->IBM Cloud Block Storage (Connects); IBM Cloud Services->IBM Cloud Operator (Connects),Kube API->Secrets (Create Secret); Kube API->PVC (Create PVC); Kube API->Kube Scheduler (Create POD With PVC); Object Storage Bucket Provisioner->Kube FlexDriver (); Kubelet->Kube FlexDriver (); Kube FlexDriver->S3FS Fuse Module (); S3FS Fuse Module->Cloud Object Storage (); S3FS Fuse Module->Container (Volume),
marklogic_cloud-enablement-aws_comparison.json,8,8,6,12,8,1,Lambda Functions; SNS; IAM Roles; Application Load Balancer (ALB); EC2 Instances; Security Groups; Subnets; CloudFormation,Elastic Load Balancer; MarkLogic Node A; MarkLogic Node B; MarkLogic Node C; CloudWatch Alarm; Lambda: Managed ENI; Lambda: Node Manager; Simple Notification,AWS Cloud; VPC; DynamoDB; Auto Scaling Groups; Elastic Network Interfaces (ENIs); EBS Volumes,Lambda Functions->SNS (); CloudFormation->VPC (); CloudFormation->Auto Scaling Groups (); CloudFormation->Application Load Balancer (ALB) (); CloudFormation->EC2 Instances (); CloudFormation->Elastic Network Interfaces (ENIs) (); CloudFormation->EBS Volumes (); CloudFormation->Security Groups (); CloudFormation->Subnets (); Application Load Balancer (ALB)->EC2 Instances (); EC2 Instances->Elastic Network Interfaces (ENIs) (); EC2 Instances->EBS Volumes (),Elastic Load Balancer->Auto Scaling Group (Instance Recovery Alarm); Auto Scaling Group->MarkLogic Node A (Managed Network Interface); Auto Scaling Group->MarkLogic Node B (Managed Network Interface); Auto Scaling Group->MarkLogic Node C (Managed Network Interface); MarkLogic Node A->DynamoDB (Sync up node information); MarkLogic Node B->DynamoDB (Sync up node information); MarkLogic Node C->DynamoDB (Sync up node information); Lambda: Managed ENI->Simple Notification (Subscribe),Lambda Functions->DynamoDB ()
pau-minoves_jseats_comparison.json,10,5,3,5,3,1,User; CLI/Java API; SeatAllocatorLauncher; ProcessorConfig; SeatAllocatorResolver; Candidate; SeatAllocationMethod; TallyFilter; ResultDecorator; TieBreaker,Candidates and votes; Filter; Process; Decorate; Candidates and seats,Tally; Result; SeatAllocatorProcessor,User->CLI/Java API (Interaction); CLI/Java API->SeatAllocatorLauncher (Launch); SeatAllocatorLauncher->ProcessorConfig (Config); SeatAllocatorLauncher->SeatAllocatorResolver (Resolve); SeatAllocatorProcessor->Candidate (Model),Candidates and votes->Tally (Input); SeatAllocatorProcessor->Result (Output); Result->Candidates and seats (Output),Tally->SeatAllocatorProcessor (Process)
gdsc-ys_mlops_comparison.json,5,6,2,4,8,1,Client-Side Tools; MLflow Client; Nginx Reverse Proxy; AWS S3; MySQL Database,Amazon RDS; Amazon S3; Amazon ECR; Amazon ECS; GitHub; GitHub Actions,ML Developer; MLflow Tracking Server,MLflow Client->Nginx Reverse Proxy (HTTP Requests); Nginx Reverse Proxy->MLflow Tracking Server (Forward Requests); MLflow Tracking Server->AWS S3 (Store Artifacts); MLflow Tracking Server->MySQL Database (Store Metadata),mlflow->Amazon RDS (Save log data); mlflow->Amazon S3 (Save artifact); ML Developer->GitHub (Commit); GitHub->GitHub Actions (Hook); GitHub Actions->Amazon ECR (Build image); Amazon ECR->Amazon ECS (Deploy); GitHub Actions->Amazon ECS (Deploy); GitHub Actions->mlflow (Track & Tag model),"ML Developer->MLflow Tracking Server (Track Experiments, Log Artifacts)"
Spiderpig86_SmoresUnderflow_comparison.json,6,8,3,7,7,2,User; React UI; Redux Store; Nginx Load Balancer; Microservices; Messaging Queue (RabbitMQ),Client; Main Load Balancer; Search Load Balancer; Microservice Instances + Mongos; Search Instances + Mongos; Kibana; Media Redis Cluster; Main Redis Cluster,MongoDB; ElasticSearch; Redis Cache,User->React UI (Interaction); React UI->Redux Store (State); Redux Store->Nginx Load Balancer (Traffic); Nginx Load Balancer->Microservices (Traffic); Microservices->Messaging Queue (RabbitMQ) (Queue); Microservices->MongoDB (Database); Messaging Queue (RabbitMQ)->MongoDB (Database),Client->Main Load Balancer (Traffic); Main Load Balancer->Microservice Instances + Mongos (Traffic); Search Load Balancer->Search Instances + Mongos (Traffic); Microservice Instances + Mongos->MongoDB (Database); Search Instances + Mongos->Elastic Search (Search); Elastic Search->Kibana (Visualization); MongoDB->Media Redis Cluster (Cache),MongoDB->Redis Cache (Cache); Microservices->ElasticSearch (Search)
bluekiri_mlab_comparison.json,7,5,2,5,5,0,MLAB System; Docker & Deployment; Worker Service Component; HTTP API (Falcon); Model Loading; Dashboard Component; Flask App (app.py),Model trainer component; Application Consumer; Orchestrator; Worker; Mongodb,MongoDB; ZooKeeper,Docker Compose->MongoDB (); Docker Compose->ZooKeeper (); HTTP API (Falcon)->Model Loading (); Model Loading->Error Handling (); ZooKeeper Integration->Configuration (),Model trainer component->Orchestrator (); Orchestrator->Zookeeper (); Orchestrator->MongoDB (); Orchestrator->Worker (); Application Consumer->Worker (),
