sample_id,setting_id,author1_rating,author2_rating,rating_match,author1_justification,author2_justification
1,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is not matching as some of components are missing and some of them are extra,Completely wrong
1,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has many more components and different level,Mostly wrong
1,3,Does Not Meet Expectations,Does Not Meet Expectations,True,there are too many components,Doesn't match well with ground truth.
1,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it doesn't match the expectations as there are lot of components missing,"Though some component match, it wrong overall"
1,5,Does Not Meet Expectations,Does Not Meet Expectations,True,it is missing multiple important components,Very different from ground truth.
2,1,Partially Meets Expectations,Partially Meets Expectations,True,as some of the components match but the flow between the components is different to compared to ground truth,"Ground truth is kind of a component diagram, whereas the generated one is sequence diagram."
2,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it does not meet any expectations,Cant relate the generated and ground truth
2,3,Meets Expectations,Partially Meets Expectations,False,it is mostly matching,"Style is different, and some of the data flow is not shown properly."
2,4,Does Not Meet Expectations,Partially Meets Expectations,False,it doesn't match the level of detail is too detail,Style and some components are different. But overall its similar
2,5,Partially Meets Expectations,Meets Expectations,False,"most of the components match, there are just some extra components",Mostly Accurate
3,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed and complex,Can't understand the diagram
3,3,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too different from ground truth,Generated Diagram and ground truth doesn't match
3,4,Does Not Meet Expectations,Does Not Meet Expectations,True,"does not meet at all
the components are too different",Generated Diagram and ground truth have very less similarity.
3,5,Does Not Meet Expectations,Partially Meets Expectations,False,it is too differnt,"It captures the idea, and some of the component, but not fully."
4,1,Partially Meets Expectations,Partially Meets Expectations,True,some of the components are missing,"Some of the component and structure is similar, but its still a lot different from ground truth."
4,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is differnt,Very unclear image with little resemblance to ground truth.
4,3,Partially Meets Expectations,Partially Meets Expectations,True,,"The generated diagram captures the main components and their relationships, such as the web application, firewall, and SQL database. However, it lacks some specific elements like 'App Gateway WAF', 'Peering', and 'Private DNS Zones' present in the ground truth. Additionally, the connections to the Internet are not depicted"
4,4,Does Not Meet Expectations,Partially Meets Expectations,False,it is too complex. ,Most of the component and connections are similar. Looks wise it totally different though. It uses different kinds of icons/components
4,5,Does Not Meet Expectations,Partially Meets Expectations,False,the components are not matching,"Looks wise (icons, arrows) matches perfectly.
However, the structure is too simple with respect to ground truth."
5,1,Does Not Meet Expectations,Does Not Meet Expectations,True,not meet the accuracy,"The generated diagram is a sequence diagram, while the ground truth is a component diagram. "
5,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complex,"The generated diagram is a sequence diagram, while the ground truth is a component architecture diagram"
5,3,Partially Meets Expectations,Partially Meets Expectations,True,some of the flows are different than ground truth,"Some components and flow is right, but still missing out a lot."
5,5,Partially Meets Expectations,Partially Meets Expectations,True,it is very different from the ground truth but it also has some components matching,Many components and flow don't match.
6,1,Does Not Meet Expectations,Partially Meets Expectations,False,it is very different from ground truth. ,"Idea is correct, but the diagram far from the ground truth. Also, many of the terminology is different."
6,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it has lot more components and complex relationship,Its nowhere near ground truth.
6,3,Does Not Meet Expectations,Does Not Meet Expectations,True,doesn't have many of the components needed and too cluttered with connectors,It doesn't match much with ground truth
6,4,Does Not Meet Expectations,Does Not Meet Expectations,True,"it is different, complicated",Nowhere near ground truth
6,5,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too different with the ground truth,Nowhere near ground truth.
7,1,Meets Expectations,Partially Meets Expectations,False,some of the components are missing but they re not that important,It mostly agrees with ground truth.
7,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed. it's too complex,Very different from ground truth.
7,3,Meets Expectations,Partially Meets Expectations,False,it is nearly accurate for most of things,Its correct but doesn't match exactly with ground truth.
7,5,Partially Meets Expectations,Partially Meets Expectations,True,it missed the database and the labels are wrong,Just misses few things. Almost correct.
8,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the accuracy is not matching and the components are too much,Very different from ground truth.
8,3,Partially Meets Expectations,Partially Meets Expectations,True,some of the components are missing but also the image says the same thing what ground truth says,"Looks very different from ground truth, and introduces lot of detail which I can't verify."
8,4,Meets Expectations,Meets Expectations,True,it matches the expectation,"Mostly accurate, though doesn't match in looks."
8,5,Meets Expectations,Partially Meets Expectations,False,this is right,Just the looks are a bit different
9,1,Does Not Meet Expectations,Does Not Meet Expectations,True,it is not accurate,"Ground truth is a component diagram, whereas the generated on is sequence diagram. And many of the components are also not correct"
9,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is complicated,No relation to ground truth.
9,3,Meets Expectations,Partially Meets Expectations,False,although there are some connectors more but are not that threat. It is right,"Its good, but a bit different from ground truth."
9,4,Partially Meets Expectations,Does Not Meet Expectations,False,it has too much level of details which has too many details which are not in ground truth,Very different from ground truth.
9,5,Partially Meets Expectations,Partially Meets Expectations,True,"it is matching.
but some components is missing",The structure is a bit miss represented. Some components are missing.
