Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;bcgov/embc-ess;https://github.com/bcgov/embc-ess/blob/r1develop/architecture-diagram.png;entire;boxes_and_arrows, boxes;client-server, layered;general;static;maintainability;medium;DBs, packages, technologies;data_flow;rectangles, icons;y;uni;n;y;n;y;n;angular, .net;
Anonymous;aikkala/user-in-the-box;https://github.com/aikkala/user-in-the-box/blob/main/figs/architecture.svg;part;boxes_and_arrows;NA;general;static;maintainability;low;classes;inheritance;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;kryptokrauts/ae-prediction-cards;https://github.com/kryptokrauts/ae-prediction-cards/blob/main/images/architecture.png;entire;boxes_and_arrows;SOA, smart-contracts;control_flow;dynamic;functional_suitability;low;DBs, services, clients;function_calls, data_flow;rectangles, squares, icons;y;bi;n;y;n;y;text;aeternity, ipfs;blockchain
Anonymous;andersonkmi/credit-card-bindb-service-aws;https://github.com/andersonkmi/credit-card-bindb-service-aws/blob/master/img/architecture.jpg;entire;boxes_and_arrows;event-driven;control_flow;dynamic;maintainability, functional_suitability;high;APIs, DBs, functions;data_flow;rectangles, cylinders, icons;y;uni;n;n;n;y;n;aws;manual sketch
Anonymous;joumenharzli/saga-pattern-nodejs-aws;https://i.ibb.co/HhLBQT1/Saga-Architecture-1.png;entire;boxes_and_arrows;microservices;deployment;static;maintainability;high;DBs, sub-systems;data_flow;rectangles, icons;y;uni;n;y;n;y;n;aws, nodejs;
Anonymous;calmato/gran-book;https://github.com/calmato/gran-book/blob/master/docs/12_backend/01_design/images/architecture.jpeg;entire;boxes_and_arrows;layered, microservices;connectivity;static;maintainability;medium;services, APIs, DBs;communication;rectangles, squares, icons;y;bi;y;y;n;y;n;mysql, firestore, firebase;
Anonymous;dylanvanh/MunchOut;https://github.com/dylanvanh/MunchOut/blob/main/documentation/frontent-architecture.drawio.png;entire;boxes_and_arrows;layered;data_flow;dynamic;maintainability;medium;classes, layers, APIs, DBs;communication;rectangles, icons;y;uni;n;y;n;y;n;mysql;
Anonymous;SafeBreach-Labs/hAFL2;https://github.com/SafeBreach-Labs/hAFL2/blob/main/images/Architecture.png;part;boxes_and_arrows;client-server;deployment, connectivity;static;maintainability;medium;servers, packages, VMs;communication;rectangles, squares;y;bi;n;y;n;y;n;NA;
Anonymous;rackerlabs/scantron;https://github.com/rackerlabs/scantron/blob/master/img/scantron_architecture_overview.png;entire+;boxes_and_arrows;client-server;performance, deployment;static;maintainability, performance_efficiency;high;firewalls, DBs, servers, clients;communication, data_flow;rectangles;y;uni;n;n;y;y;n;django, postgresql;
Anonymous;codahale/sneaker;https://github.com/codahale/sneaker/blob/master/architecture.png;entire;boxes_and_arrows;SOA;security, deployment;dynamic;security, functional_suitability, maintainability;high;servers, technologies;control_flow;rectangles, diamonds;n;uni;n;n;n;y;n;aws;
