Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_gpt_LLM_Clarity_Rating,oneShot_gpt_LLM_Completeness_Rating,oneShot_gpt_LLM_Consistency_Rating,oneShot_gpt_PSNR,oneShot_gpt_RMSE,oneShot_gpt_SAM,oneShot_gpt_SRE,oneShot_gpt_SSIM,oneShot_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.5048,0.0211,83.3500,57.9396,0.6384,0.0016,https://github.com/pau-minoves/jseats/,1122
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.8355,0.0114,89.5621,59.1366,0.6683,0.0056,https://github.com/kryptokrauts/ae-prediction-cards/,1070
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2428,0.0137,89.5023,60.4820,0.7720,-0.0016,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3603,0.0215,87.7145,57.1295,0.4886,0.0019,https://github.com/lvyahui8/http-proxy/,866
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.1268,0.0139,88.6406,62.1983,0.7588,-0.0003,https://github.com/domingo1021/Bunny-code/,1290
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.1302,0.0392,89.0050,50.0322,0.3830,-0.0006,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7695,0.0145,88.9775,62.9145,0.8137,0.0005,https://github.com/gdsc-ys/mlops/,871
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0928,0.0125,89.9033,56.8007,0.5406,0.0013,https://github.com/krishnaprasadkv/Linux-Commands/,987
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.1280,0.0175,89.0405,60.0360,0.7413,0.0009,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6565,0.0208,87.3002,53.8241,0.4360,-0.0001,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0447,0.0177,89.8315,57.6542,0.6304,-0.0004,https://github.com/2WAY/Design/,578
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.1392,0.0139,89.2933,58.1730,0.5770,-0.0001,https://github.com/microsoft/azure-realtime-fraud-detection/,729
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6787,0.0131,88.2838,62.4063,0.5544,-0.0022,https://github.com/lkravi/kube8aws/,863
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3205,0.0153,88.6093,59.1239,0.4650,-0.0004,https://github.com/MyEMS/myems/,1277
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.1006,0.0157,89.8540,59.5876,0.7064,-0.0005,https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2578,0.0173,89.6512,56.3353,0.5555,0.0015,https://github.com/avarghesein/ActiveX.NET/,990
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3795,0.0135,89.9313,60.5378,0.7367,-0.0020,https://github.com/leekoko/Java-Web/,1095
"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8513,0.0114,89.6375,60.5617,0.6439,-0.0008,https://github.com/oracle-quickstart/oci-jenkins/,1071
boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.8710,0.0128,89.8627,66.7654,0.8626,0.0007,https://github.com/neighbor-army/help-with-covid/,1153
boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3433,0.0121,89.6189,59.8856,0.7164,0.0010,https://github.com/pagopa/pn-infra/,1807
