Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_gpt_LLM_Clarity_Rating,approach_gpt_LLM_Completeness_Rating,approach_gpt_LLM_Consistency_Rating,approach_gpt_PSNR,approach_gpt_RMSE,approach_gpt_SAM,approach_gpt_SRE,approach_gpt_SSIM,approach_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3643,0.0215,83.1878,57.8693,0.6730,,https://github.com/pau-minoves/jseats/,1122
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.9810,0.0159,89.3963,57.7179,0.6360,,https://github.com/kryptokrauts/ae-prediction-cards/,1070
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9332,0.0113,88.9968,61.3457,0.8042,,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4798,0.0212,87.7119,57.0869,0.5094,,https://github.com/lvyahui8/http-proxy/,866
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.4889,0.0119,88.6877,62.8755,0.8311,,https://github.com/domingo1021/Bunny-code/,1290
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1292,0.0392,89.0059,50.0324,0.4079,,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9614,0.0142,88.5114,63.0227,0.8528,,https://github.com/gdsc-ys/mlops/,871
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.8119,0.0091,89.9199,58.5424,0.6759,,https://github.com/krishnaprasadkv/Linux-Commands/,987
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.5048,0.0106,88.6361,61.9364,0.8429,,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7551,0.0205,87.3269,53.8682,0.4950,,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049
