Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,approach_claude_LLM_Clarity_Rating,approach_claude_LLM_Completeness_Rating,approach_claude_LLM_Consistency_Rating,approach_claude_PSNR,approach_claude_RMSE,approach_claude_SAM,approach_claude_SRE,approach_claude_SSIM,approach_claude_UIQ,repo_url,summary_token_count
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.3026,0.0216,0.0000,57.8421,0.6435,,https://github.com/pau-minoves/jseats/,1122
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.0820,0.0140,0.0000,58.2546,0.5852,,https://github.com/kryptokrauts/ae-prediction-cards/,1070
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.7087,0.0116,0.0000,61.2346,0.8178,,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.4598,0.0210,0.0000,57.0490,0.4744,,https://github.com/lvyahui8/http-proxy/,866
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3539,0.0135,0.0000,62.3367,0.7885,,https://github.com/domingo1021/Bunny-code/,1290
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.0001,0.0398,0.0000,49.9659,0.4278,,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1905,0.0138,0.0000,63.1410,0.8514,,https://github.com/gdsc-ys/mlops/,871
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5827,0.0115,89.9531,57.2559,0.7329,,https://github.com/krishnaprasadkv/Linux-Commands/,987
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.2423,0.0097,0.0000,62.2540,0.7922,,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.5608,0.0210,0.0000,53.7776,0.4989,,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2218,0.0171,0.0000,57.7623,0.6527,,https://github.com/2WAY/Design/,578
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.9675,0.0124,0.0000,58.7345,0.6814,,https://github.com/microsoft/azure-realtime-fraud-detection/,729
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7453,0.0130,0.0000,62.4063,0.5775,,https://github.com/lkravi/kube8aws/,863
