Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zero_shot_claude_3.5_sonnet_LLM_Clarity_Rating,zero_shot_claude_3.5_sonnet_LLM_Completeness_Rating,zero_shot_claude_3.5_sonnet_LLM_Consistency_Rating,zero_shot_claude_3.5_sonnet_PSNR,zero_shot_claude_3.5_sonnet_RMSE,zero_shot_claude_3.5_sonnet_SAM,zero_shot_claude_3.5_sonnet_SRE,zero_shot_claude_3.5_sonnet_SSIM,zero_shot_claude_3.5_sonnet_UIQ
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,https://github.com/pau-minoves/jseats/,1122,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,33.4739,0.0212,83.2914,57.9242,0.6692,0.0008
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",https://github.com/kryptokrauts/ae-prediction-cards/,1070,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0536,0.0112,89.5747,59.2426,0.6338,-0.0003
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3324,0.0121,89.4641,61.0544,0.6906,-0.0053
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",https://github.com/lvyahui8/http-proxy/,866,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3672,0.0215,87.6922,57.0891,0.4694,-0.0010
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",https://github.com/domingo1021/Bunny-code/,1290,,,,NA,NA,NA,NA,NA,NA
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1003,0.0394,88.9589,50.0173,0.3701,0.0004
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",https://github.com/gdsc-ys/mlops/,871,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4047,0.0135,89.0206,63.2287,0.7909,-0.0008
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,https://github.com/krishnaprasadkv/Linux-Commands/,987,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4779,0.0106,89.9335,57.6192,0.6138,0.0088
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3629,0.0121,89.0575,61.3122,0.7105,-0.0026
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7349,0.0206,87.3085,53.8615,0.4398,-0.0003
boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,https://github.com/2WAY/Design/,578,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8271,0.0162,89.9149,58.1440,0.6961,0.0012
"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,https://github.com/microsoft/azure-realtime-fraud-detection/,729,,,,NA,NA,NA,NA,NA,NA
"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",https://github.com/lkravi/kube8aws/,863,,,,NA,NA,NA,NA,NA,NA
boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",https://github.com/MyEMS/myems/,1277,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8840,0.0161,88.6354,58.9229,0.4880,0.0027
boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.7807,0.0145,89.8969,59.9183,0.7126,0.0023
"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,https://github.com/avarghesein/ActiveX.NET/,990,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3726,0.0170,89.7470,56.4156,0.4995,-0.0019
boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,https://github.com/leekoko/Java-Web/,1095,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2562,0.0137,89.9459,60.4329,0.7291,0.0006
