sample_id,setting_id,author1_rating,author2_rating,rating_match,author1_justification,author2_justification
1,1,Partially Meets Expectations,Does Not Meet Expectations,False,the level is matching but many of the components are missing and the connectors are complex,Detail doesn't matter as diagram is completely wrong
1,2,Does Not Meet Expectations,Partially Meets Expectations,False,the level is too detail,Too detail
1,3,Does Not Meet Expectations,Partially Meets Expectations,False,there are too may components and too detailed. ,Mostly the detail level is right.
1,4,Partially Meets Expectations,Partially Meets Expectations,True,the structure matches partially with the ground truth,detail level is fine
1,5,Partially Meets Expectations,Does Not Meet Expectations,False,the level of detail is partial as each of the expanded components need sub details,Generated image has much lesser details
2,1,Partially Meets Expectations,Meets Expectations,False,the control flow between components is too detailed.,"Though different type of diagram, the level of detail is similar"
2,2,Does Not Meet Expectations,Does Not Meet Expectations,True,the level is too detailed,Too detail!
2,3,Meets Expectations,Meets Expectations,True,"it is same thing, although some of the components have extra flows",Level of detail is correct.
2,4,Does Not Meet Expectations,Partially Meets Expectations,False,it has the expansion of the components which is not required,Generated one is too detailed
2,5,Does Not Meet Expectations,Meets Expectations,False,it is too detailed flow,Level of detail is perfect
3,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it too detailed,Can't understand the diagram
3,3,Partially Meets Expectations,Does Not Meet Expectations,False,the level of detail is nearly same but the components are too different,Too detailed
3,4,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too low level,Too detailed.
3,5,Partially Meets Expectations,Meets Expectations,False,"although the components are not matching, the details level is same",Level of detail is perfect
4,1,Partially Meets Expectations,Partially Meets Expectations,True,it partially meets the expectations,Too abstract.
4,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too complex,Too detail
4,3,Meets Expectations,Meets Expectations,True,is meets the level of accuracy,
4,4,Does Not Meet Expectations,Meets Expectations,False,it is complex and different from the ground truth,Detail level is ok
4,5,Does Not Meet Expectations,Partially Meets Expectations,False,it is too less.,Too abstract
5,1,Does Not Meet Expectations,Does Not Meet Expectations,True,the flows are complex,Generated one is a sequence diagram for 1 flow which I can't verify. while the ground truth is a component diagram.
5,2,Does Not Meet Expectations,Does Not Meet Expectations,True,it is too detailed,Way too detailed!
5,3,Meets Expectations,Meets Expectations,True,it meets the details ,
5,5,Partially Meets Expectations,Meets Expectations,False,it is different from what was expected,
6,1,Partially Meets Expectations,Partially Meets Expectations,True,the system is in same level,Too Detail with respect to ground truth.
