Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_gpt_LLM_Clarity_Rating,fewShot_gpt_LLM_Completeness_Rating,fewShot_gpt_LLM_Consistency_Rating,fewShot_gpt_PSNR,fewShot_gpt_RMSE,fewShot_gpt_SAM,fewShot_gpt_SRE,fewShot_gpt_SSIM,fewShot_gpt_UIQ,repo_url,summary_token_count
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.2224,0.0218,83.2572,57.7984,0.6087,-0.0005,https://github.com/pau-minoves/jseats/,1122
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.1266,0.0124,89.5446,58.7831,0.6538,0.0021,https://github.com/kryptokrauts/ae-prediction-cards/,1070
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0882,0.0125,89.5086,60.9272,0.6864,-0.0006,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1807,0.0219,87.7015,57.0090,0.4510,-0.0034,https://github.com/lvyahui8/http-proxy/,866
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.2056,0.0138,88.5980,62.2330,0.7482,0.0014,https://github.com/domingo1021/Bunny-code/,1290
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",,,,NA,NA,NA,NA,NA,NA,https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7911,0.0145,88.9657,62.9215,0.7975,0.0001,https://github.com/gdsc-ys/mlops/,871
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9209,0.0113,89.9151,57.4022,0.6298,-0.0011,https://github.com/krishnaprasadkv/Linux-Commands/,987
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.6203,0.0117,89.0657,61.4398,0.7656,-0.0000,https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7766,0.0205,87.3014,53.8784,0.4371,-0.0071,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049
