Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_deepseek_LLM_Clarity_Rating,zeroShot_deepseek_LLM_Completeness_Rating,zeroShot_deepseek_LLM_Consistency_Rating,zeroShot_deepseek_PSNR,zeroShot_deepseek_RMSE,zeroShot_deepseek_SAM,zeroShot_deepseek_SRE,zeroShot_deepseek_SSIM,zeroShot_deepseek_UIQ
boxes_and_arrows,pipes-and-filters,entire,"static, dynamic",pau-minoves_jseats,n,"packages, classes",control_flow,uni,control_flow,parameters,y,n,medium,n,y,,functional_suitability,pau-minoves/jseats,"rectangles, icons",NA,https://github.com/pau-minoves/jseats/,1122,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,33.5021,0.0211,0.0000,57.9376,0.6576,
boxes_and_arrows,"SOA, smart-contracts",entire,dynamic,kryptokrauts_ae-prediction-cards,y,"DBs, services, clients",control_flow,bi,"function_calls, data_flow",text,y,n,low,n,y,blockchain,functional_suitability,kryptokrauts/ae-prediction-cards,"rectangles, squares, icons","aeternity, ipfs",https://github.com/kryptokrauts/ae-prediction-cards/,1070,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.6611,0.0104,0.0000,59.5490,0.6746,
"icons_and_arrows, boxes",NA,entire+,dynamic,hyeonsangjeon_youtube-dl-nas,y,"network_components, firewalls","connectivity, control_flow, security","uni, bi",data_flow,n,y,n,high,n,y,,"security, functional_suitability",hyeonsangjeon/youtube-dl-nas,"squares, icons",NA,https://github.com/hyeonsangjeon/youtube-dl-nas/,1058,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2988,0.0121,0.0000,61.0378,0.6821,
boxes_and_arrows,"client-server, layered",entire+,static,lvyahui8_http-proxy,y,"DBs, layers, functions, technologies",general,uni,"data_flow, function_calls",n,y,n,medium,n,y,,maintainability,lvyahui8/http-proxy,rectangles,"openresty, redis, mysql, apache, druid ",https://github.com/lvyahui8/http-proxy/,866,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.3272,0.0212,0.0000,57.1217,0.4775,
"boxes_and_arrows, icons_and_arrows",NA,entire+,dynamic,domingo1021_Bunny-code,y,"DBs, technologies",deployment,"uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",domingo1021/Bunny-code,"rectangles, icons","vuejs, nodejs, aws, cloudfront, docker, redis, mysql, influxdb, nginx, github",https://github.com/domingo1021/Bunny-code/,1290,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5298,0.0133,0.0000,62.3965,0.7598,
"icons_and_arrows, boxes",event-driven,entire,dynamic,adityajain10_foot365-live-streaming-chatbot-prediction-app-on-aws,y,"DBs, technologies, APIs, clients",control_flow,no,control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws,"rectangles, 3d, icons","aws, apache",https://github.com/adityajain10/foot365-live-streaming-chatbot-prediction-app-on-aws/,1145,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,28.1043,0.0393,0.0000,50.0221,0.3839,
icons_and_arrows,SOA,entire,dynamic,gdsc-ys_mlops,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,gdsc-ys/mlops,icons,"aws, github, mlflow",https://github.com/gdsc-ys/mlops/,871,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4564,0.0134,0.0000,63.2561,0.7815,
boxes,onion,entire,static,krishnaprasadkv_Linux-Commands,y,sub-systems,general,NA,NA,n,n,n,medium,n,y,,maintainability,krishnaprasadkv/Linux-Commands,circles,NA,https://github.com/krishnaprasadkv/Linux-Commands/,987,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3135,0.0106,0.0000,57.6575,0.6287,
UML,layered,entire,dynamic,Simon-0711_ta_lyrics_sentiment_classification,y,containers,"deployment, control_flow","uni, bi",control_flow,n,y,n,high,n,y,,"maintainability, interaction_capability",Simon-0711/ta_lyrics_sentiment_classification,"rectangles, icons","fastapi, docker, kibana, elasticsearch",https://github.com/Simon-0711/ta_lyrics_sentiment_classification/,1193,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0892,0.0111,0.0000,61.6758,0.7345,
boxes,clean,entire,static,imamabdulazis_FlutterCleanArchitecture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,imamabdulazis/FlutterCleanArchitecture,circles,NA,https://github.com/imamabdulazis/FlutterCleanArchitecture/,1049,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6217,0.0208,0.0000,53.8043,0.4137,
