file,hallucinated_components_count,missing_components_count,correct_components_count,hallucinated_connectors_count,missing_connectors_count,correct_connectors_count,hallucinated_components,missing_components,correct_components,hallucinated_connectors,missing_connectors,correct_connectors
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,7,8,3,6,10,1,Webcam 1 (Orthogonal); Webcam 2 (Orthogonal); TensorFlow.js; Express.js (HTTPS); Socket.IO Server; Broadcast Handler; Receiver Application,"ObservableHQ Webcam 1; ObservableHQ Webcam 2; Skeleton array 1 Client 1; Skeleton array 2 Client 2; Socket.io; ObservableHQ Receiver Notebook; 3D Pose Skeleton x, y, z data; GraphXR data Stretch Goal",Node.js Server; PoseNet/MoveNet; GraphXR Visualization,Webcam 1 (Orthogonal)->TensorFlow.js (); Webcam 2 (Orthogonal)->TensorFlow.js (); TensorFlow.js->PoseNet/MoveNet (); PoseNet/MoveNet->Node.js Server (); Node.js Server->Receiver Application (); Receiver Application->GraphXR Visualization (),"ObservableHQ Webcam 1->MoveNet/PoseNet (); ObservableHQ Webcam 2->MoveNet/PoseNet (); MoveNet/PoseNet->Skeleton array 1 Client 1 (); MoveNet/PoseNet->Skeleton array 2 Client 2 (); Skeleton array 1 Client 1->Socket.io (); Skeleton array 2 Client 2->Socket.io (); Socket.io->Node.js Server (); Node.js Server->ObservableHQ Receiver Notebook (); ObservableHQ Receiver Notebook->3D Pose Skeleton x, y, z data (); 3D Pose Skeleton x, y, z data->GraphXR data Stretch Goal ()",Node.js Server->GraphXR Visualization ()
SecHack365-Fans_PyJailBreak_comparison.json,5,7,0,5,5,0,User Interface; State Management; Data Handling; API Interaction; Backend API,Developers; GitHub Actions; PyJailBreak Website; PyJailBreak Backend; PyJailBreak API; Vulnerable Server Examples; Users,,User Interface->State Management (); User Interface->Data Handling (); User Interface->API Interaction (); API Interaction->Backend API (); Data Handling->Backend API (),Developers->GitHub Actions (); GitHub Actions->PyJailBreak Website (); Users->PyJailBreak Website (); PyJailBreak Website->PyJailBreak API (); PyJailBreak API->Vulnerable Server Examples (),
MyEMS_myems_comparison.json,22,43,4,21,0,0,"MyEMS Admin; MyEMS Web; Mobile Apps; Falcon REST API; Authentication & Authorization; Reports Generation; Core Entities CRUD; FDD Engine; Data Cleaning Service; Data Normalization Service; Data Aggregation Service (Multiprocessing); Billing Calculator; Notification Service (SMS/Email/WeChat); IoT Devices (Meters, Sensors); SMS Gateway; WeChat API; Email Server; Energy DB (Consumption); Carbon DB (Emissions); Billing DB (Tariffs, Costs); System DB (Users, Config); Historical DB (Archive)",用户权限; HTTPS; API Access; Web UI; 小程序; 手机应用; 大屏; BI; BMS; ERP; AR; Excel导出; 高级报表引擎; 邮件/短信/微信; 数据采集; 设备控制; 数据清洗; 数据规范化; 计量表数据; 空间数据; 租户数据; 门店数据; 车辆数据; 设备数据; 组合设备数据; 碳排放数据; 成本数据; MES; 天气; 手工录入; OPC UA; BACnet; EtherNet/IP; S7; 裸金属服务器群; 虚拟机; Docker Engine; 本地Kubernetes集群; 云端Kubernetes集群; 数据库集群; Web Server; MQTT Broker; Kafka Broker,FDD Rules Management; Data Acquisition; MQTT; Modbus,"MyEMS Admin->Falcon REST API (frontend); MyEMS Web->Falcon REST API (frontend); Mobile Apps->Falcon REST API (frontend); Falcon REST API->FDD Engine (service); Falcon REST API->Data Acquisition (Modbus TCP) (service); Falcon REST API->MQTT Client (IoT Devices) (service); Falcon REST API->Data Cleaning Service (service); Falcon REST API->Billing Calculator (service); Falcon REST API->Notification Service (SMS/Email/WeChat) (service); Data Cleaning Service->Data Normalization Service (service); Data Normalization Service->Data Aggregation Service (Multiprocessing) (service); Data Aggregation Service (Multiprocessing)->Energy DB (Consumption) (data); Data Aggregation Service (Multiprocessing)->Carbon DB (Emissions) (data); Data Aggregation Service (Multiprocessing)->Billing DB (Tariffs, Costs) (data); Data Aggregation Service (Multiprocessing)->System DB (Users, Config) (data); Data Aggregation Service (Multiprocessing)->Historical DB (Archive) (data); Modbus Devices->Data Acquisition (Modbus TCP) (external); IoT Devices (Meters, Sensors)->MQTT Client (IoT Devices) (external); SMS Gateway->Notification Service (SMS/Email/WeChat) (external); WeChat API->Notification Service (SMS/Email/WeChat) (external); Email Server->Notification Service (SMS/Email/WeChat) (external)",,
IBM_kubernetes-storage_comparison.json,13,8,3,13,9,0,Workshop User; Frontend Pod; Redis Master Pod; Redis Slave Pod; MongoDB Pod; Dynamic provisioning; StorageClass; PV; API Server; IBM Cloud Operator; Controller Manager; Scheduler; IBM Cloud Block Storage,Secrets; Storage Class; Object Storage Bucket Provisioner; Kube API; Kube Scheduler; Kube FlexDriver; S3FS Fuse Module; Container,PVC; Kubelet; Cloud Object Storage,Workshop User->Frontend Pod (kubectl apply -f .yaml/); Frontend Pod->PVC (Request storage); Redis Master Pod->PVC (Request storage); Redis Slave Pod->PVC (Request storage); MongoDB Pod->PVC (Request storage); PVC->Dynamic provisioning (); Dynamic provisioning->StorageClass (); StorageClass->PV (Create volume); API Server->IBM Cloud Operator (Service binding request); Controller Manager->Scheduler (Schedule pods); Scheduler->Kubelet (Assign pods to nodes); Kubelet->IBM Cloud Object Storage (External mount); Kubelet->IBM Cloud Block Storage (iSCSI attach),Kube API->Secrets (Create Secret); Kube API->PVC (Create PVC); Kube API->Kube Scheduler (Create POD With PVC); Object Storage Bucket Provisioner->Kube FlexDriver (); Kube Scheduler->Kubelet (); Kubelet->Kube FlexDriver (); Kube FlexDriver->S3FS Fuse Module (); S3FS Fuse Module->Cloud Object Storage (); S3FS Fuse Module->Container (Volume),
marklogic_cloud-enablement-aws_comparison.json,4,7,6,6,5,1,Elastic Network Interfaces; EBS Volumes; CloudFormation; Lambda Functions,CloudWatch Alarm; Lambda: Managed ENI; Lambda: Node Manager; Simple Notification; MarkLogic Node A; MarkLogic Node B; MarkLogic Node C,AWS; VPC; Elastic Load Balancer; Auto Scaling Group; MarkLogic Instances; DynamoDB,CloudFormation->VPC (Create VPC); CloudFormation->Elastic Network Interfaces (Create ENI); CloudFormation->Application Load Balancer (Create ALB); CloudFormation->Auto Scaling Group (Create ASG); MarkLogic Instances->EBS Volumes (Storage); Lambda Functions->Auto Scaling Group (Manage Lifecycle),Elastic Load Balancer->Auto Scaling Group (Instance Recovery Alarm); CloudWatch Alarm->Elastic Load Balancer (Monitor); Lambda: Managed ENI->Auto Scaling Group (Manage Network Interface); Lambda: Node Manager->Auto Scaling Group (ASG Life Cycle Event); Simple Notification->Lambda: Node Manager (Subscribe),Auto Scaling Group->DynamoDB (State Management)
pau-minoves_jseats_comparison.json,4,13,5,8,4,0,User; CLI/API; SeatAllocatorResolver; XML Config,Candidates and votes; Tally; Seat Allocation Processor; Filter; Process; Decorate; Result; Candidates and seats; Parameters; Seat Allocation Method; TallyFilters; TieBreaker; ResultDecorators,SeatAllocatorProcessor; TallyFilter; SeatAllocationMethod; TieBreaker; ResultDecorator,User->CLI/API (Execute allocation); CLI/API->SeatAllocatorProcessor (Process); SeatAllocatorProcessor->SeatAllocatorResolver (Resolve); SeatAllocatorProcessor->TallyFilter (Filter); SeatAllocatorProcessor->SeatAllocationMethod (Method); SeatAllocatorProcessor->TieBreaker (Break tie); SeatAllocatorProcessor->ResultDecorator (Decorate); ResultDecorator->CLI/API (Return result),Candidates and votes->Tally (Input); Tally->Seat Allocation Processor (Process); Seat Allocation Processor->Result (Output); Result->Candidates and seats (Output),
gdsc-ys_mlops_comparison.json,7,5,3,8,9,0,Model Training Script; MLflow Client (Python SDK); Nginx Reverse Proxy; MySQL; CI/CD Pipeline; Docker Registry; Model Container,Amazon RDS; Amazon ECR; Amazon ECS; GitHub; GitHub Actions,ML Developer; MLflow Tracking Server; AWS S3,ML Developer->Model Training Script (run experiment); Model Training Script->MLflow Client (Python SDK) (log params/metrics); MLflow Client (Python SDK)->Nginx Reverse Proxy (HTTP/REST API); Nginx Reverse Proxy->MLflow Tracking Server (forward request); MLflow Tracking Server->MySQL (store metadata); MLflow Tracking Server->AWS S3 (store artifacts); CI/CD Pipeline->Docker Registry (build & push Docker image); Docker Registry->Model Container (deploy),ML Developer->MLflow (Train model); ML Developer->GitHub (Commit); GitHub->GitHub Actions (Hook); GitHub Actions->Amazon ECR (Build image); Amazon ECR->Amazon ECS (Deploy); Amazon S3->Amazon ECR (Fetch model); MLflow->Amazon RDS (Save log data); MLflow->Amazon S3 (Save artifact); GitHub Actions->MLflow (Track & Tag model),
Spiderpig86_SmoresUnderflow_comparison.json,8,8,2,6,6,2,User; Load Balancer (Nginx); Frontend (React); Redux Store; React Components; Microservices; Redis Cache; Message Queue (RabbitMQ),Client; Main Load Balancer; Search Load Balancer; Microservice Instances + Mongos; Search Instances + Mongos; Kibana; Media Redis Cluster; Main Redis Cluster,MongoDB; ElasticSearch,User->Load Balancer (Nginx) (HTTP); Load Balancer (Nginx)->Frontend (React) (HTTP); Load Balancer (Nginx)->Microservices (HTTP); Microservices->Redis Cache (Cache); Microservices->Message Queue (RabbitMQ) (Messaging); Message Queue (RabbitMQ)->ElasticSearch (Search),Client->Main Load Balancer (HTTP); Main Load Balancer->Microservice Instances + Mongos (HTTP); Search Load Balancer->Search Instances + Mongos (HTTP); Elastic Search->Kibana (Visualization); MongoDB->Media Redis Cluster (Cache); MongoDB->Main Redis Cluster (Cache),Microservices->MongoDB (Database); Microservices->ElasticSearch (Search)
bluekiri_mlab_comparison.json,4,4,2,4,3,1,Dashboard (Flask); Frontend; External Services; Worker Service,Model trainer component; Application Consumer; Orchestrator; Worker,Zookeeper; MongoDB,Dashboard (Flask)->Zookeeper (Monitors/Updates); Dashboard (Flask)->MongoDB (Stores/Retrieves); Dashboard (Flask)->External Services (Authenticates); External Services->Zookeeper (Registers/Monitors),Model trainer component->Orchestrator (); Orchestrator->Zookeeper (); Orchestrator->Worker (),Worker/Worker Service->MongoDB (Loads Models)
itselavia_edge-computing-platform-for-deep-learning-apps_comparison.json,8,13,2,8,4,0,User; Frontend (React); Backend (Flask); Model Manager (Go); MySQL (Cloud SQL); Kubernetes API; Google Cloud Storage (GCS); Cloud Function (TFLite Converter),Thermal sensor; IP Camera; Medical sensor; Generic IoT sensor; Industrial device sensor; Raspberry Pi; NVIDIA Jetson; Google Coral; Generic Linux based SBCs; KubeEdge CloudCore; Platform Microservices; Model Library; End Users,React UI; Kubernetes/KubeEdge Cluster,"User->Frontend (React) (Upload model, Create project, Deploy service); Frontend (React)->Backend (Flask) (API requests (auth, projects, models)); Backend (Flask)->Model Manager (Go) (Deploy model request); Backend (Flask)->MySQL (Cloud SQL) (Store/retrieve user data, projects); Model Manager (Go)->Kubernetes API (Create namespace, service account, deploy pods); Kubernetes API->Kubernetes/KubeEdge Cluster (Apply configurations); Kubernetes/KubeEdge Cluster->Google Cloud Storage (GCS) (Pull model, inference script); Google Cloud Storage (GCS)->Cloud Function (TFLite Converter) (Trigger TFLite conversion)",Device Layer->Edge Layer (MQTT); Edge Layer->Cloud Layer (KubeEdge EdgeCore); Model Library->Platform Microservices (Optimize models for edge); React UI->End Users (User interaction),
